Date,Close,High,Low,Open,Volume,NI,OD,YB,QA,DR,SQ,YP,ZR,XC,LG,KK,XL,AT,EP,DH,PD,BQ,AZ,AG,MG,GR,CC,CP,RO,HP,AI,XA,KI,TP
2026-07-13,252.0,254.0,240.0,254.0,1198700,-0.0005,0.0028,0.0,-0.0022,0.0,0.0,0.0041,0.0,-0.0294,0.0,0.0007,0.0547,0.0001,0.0,0.0153,0.0033,0.0,-0.0125,0.0,0.0001,0.0,-0.0096,0.0,-0.0003,0.0,-0.0,-0.0259,-0.0006,0.0
2026-07-14,250.0,254.0,246.0,254.0,1151800,0.0004,-0.0012,0.0074,0.0,0.0,0.0019,-0.0058,0.0,-0.0006,0.0,0.0002,-0.0371,0.0001,0.0005,0.0109,-0.0043,0.0,0.0063,0.0,0.0,0.0,0.0241,-0.0045,0.0014,400.0,0.0,0.0,0.0,0.0
2026-07-15,248.0,254.0,246.0,250.0,964000,0.0015,0.0001,0.0,0.0,0.0,0.0025,-0.0009,0.0012,0.0187,0.0,0.0015,-0.0467,0.0,0.0009,0.0063,0.002,0.0,-0.004,0.0,0.0052,0.0,0.0208,-0.0075,-0.0018,0.0,0.0,0.0,0.0,0.0
2026-07-16,238.0,252.0,232.0,248.0,2508300,0.0019,0.0198,-0.0049,0.0,0.0001,-0.0006,-0.0014,-0.0,0.0003,0.0001,0.0027,-0.033,0.0,-0.0007,0.007,-0.1226,0.0006,0.0517,0.0,0.0236,0.0,0.0553,-0.0004,0.0005,400.0,0.0,0.0,0.0,0.0
2026-07-17,240.0,260.0,238.0,240.0,2907900,-0.0016,-0.0096,400.0,0.0001,0.0005,0.0004,-0.0104,0.0024,0.0032,0.0008,-0.0011,0.0389,0.0012,0.0017,-0.0024,-0.0601,-0.0001,0.0091,0.0,0.0046,0.0,0.0265,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,236.0,246.0,214.0,240.0,4219400,0.0017,0.016,0.0,-0.0002,0.0024,0.0008,-0.0066,0.0,0.0107,0.0,0.0016,0.0113,-0.0009,0.0,0.0039,-0.3201,0.0028,0.0135,0.0,-0.0001,0.0,0.2629,-0.0001,-400.0,0.0,0.0,0.0,0.0,0.0005
2026-07-21,236.0,240.0,232.0,240.0,1612200,-0.0024,0.028,0.0024,0.0,0.0,0.0001,0.0305,-0.0,-0.0221,-0.0004,0.0001,-0.0424,0.0036,0.0122,0.0119,-0.0091,0.0002,0.0258,0.0,0.0,0.0,-0.0302,-0.0029,0.0007,0.0002,-0.0054,0.0,0.0,-0.0008
2026-07-22,236.0,238.0,232.0,238.0,736400,0.0121,-0.0272,0.0,0.0,-0.0002,0.0006,0.0036,-0.0,-0.0151,0.0,0.0001,0.0068,0.0,0.0,0.0001,0.0,0.0,0.0109,0.0,0.0024,0.0,0.0049,0.0,0.001,0.0,0.0,0.0,0.0,0.0
2026-07-23,236.0,238.0,232.0,238.0,641800,-0.0118,-0.0116,0.0,-0.0006,0.0,0.0003,0.0046,-0.0,0.0007,-0.0002,0.0,0.0214,-0.0035,-0.0013,-0.0086,-0.0044,0.0,0.0012,0.0,0.0,0.0,0.0197,0.0,-0.0,0.0,-0.0059,0.0,0.0,0.0
2026-07-24,226.0,236.0,224.0,236.0,1212600,-0.0476,0.0,0.0,0.0,0.0,0.0083,0.0091,0.0,0.0054,0.0,0.0,-0.0274,0.0,-0.0166,-0.0053,0.0037,0.0,0.073,0.0,-0.0095,0.0,0.0062,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
