Date,Close,High,Low,Open,Volume,XC,YP,CC,OD,FS,XL,AK,EP,PD,AZ,DR,SQ,CP,NI,RO,MG,AT,KK,BQ,KI
2026-07-13,1530.0,1800.0,1520.0,1620.0,50000,-0.0023,-0.0001,0.0006,0.0165,0.0,0.0037,-0.0003,0.0,0.0009,0.0,0.0,0.0,-0.0182,0.0002,0.0005,-0.0015,0.0,0.0,0.0,0.0
2026-07-14,1500.0,1595.0,1500.0,1540.0,23000,0.0011,0.0018,-0.0063,0.0,0.0019,-0.0093,0.0,0.0,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1500.0,1550.0,1500.0,1500.0,10300,0.0,-0.0008,-0.003,-0.0003,0.015,-0.0055,0.0,0.0,-0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1500.0,1560.0,1500.0,1500.0,17600,0.0006,0.0012,-0.0008,-0.0141,0.0017,0.0025,-0.0002,-0.0,0.0009,0.0039,0.0039,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1515.0,1535.0,1500.0,1505.0,11500,-0.0021,0.0003,-0.0002,0.0002,0.0156,-0.0138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1500.0,1520.0,1500.0,1500.0,9400,-0.0008,0.0,0.0,-0.0002,0.0134,-0.003,0.0,0.0,-0.0093,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-21,1515.0,1570.0,1500.0,1520.0,6500,0.0013,0.0,-0.0007,-0.002,0.0018,0.0012,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0,-0.0,0.0
2026-07-22,1590.0,1590.0,1510.0,1510.0,69700,-0.0003,0.0,-0.04,-0.0003,0.0,-0.002,-0.0006,0.0,-0.0111,0.008,0.0,-0.0005,0.0469,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
2026-07-23,1530.0,1775.0,1515.0,1585.0,125300,0.0056,0.0,0.013,0.0109,0.0,0.0034,0.0,0.0,0.013,0.0,0.0,0.0005,-0.0484,-0.0054,0.0,-0.0017,0.0074,0.0,0.0018,-0.0002
2026-07-24,1500.0,1530.0,1500.0,1530.0,46900,0.0,0.0006,-0.003,0.0,0.0384,-0.0004,0.0,0.0,0.0147,0.0101,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0004,-0.057,0.0,0.0
