Date,Close,High,Low,Open,Volume,NI,LG,CC,XL,AT,YP,OD,PD,XC,SQ,GR,EP,AZ,BQ
2026-07-13,785.0,795.0,785.0,785.0,6500,0.0,0.0012,0.0,-0.0003,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0008,0.0,0.0
2026-07-14,805.0,810.0,790.0,790.0,22900,0.0,-0.0012,0.011,0.0001,0.0,-0.0002,0.0,-0.0005,-0.0002,-0.009,-0.0001,0.0,0.0,0.0
2026-07-15,790.0,805.0,780.0,805.0,16500,0.0,0.0039,-0.0002,-0.0054,0.0,0.0,0.0,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0
2026-07-16,795.0,795.0,790.0,795.0,10100,0.0,0.0009,-0.0005,-0.0013,0.0,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,790.0,795.0,785.0,795.0,6800,0.0001,-0.0014,0.0005,0.001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,780.0,795.0,780.0,790.0,16100,0.0,-0.0003,0.0048,-0.0054,0.0,0.0,0.0,-0.0002,0.0012,0.0,0.0,0.0,0.0,0.0
2026-07-21,790.0,795.0,780.0,785.0,8600,0.0,-0.0032,0.002,0.0002,0.0,0.0,0.0003,-0.0001,0.0007,0.0,0.0,0.0,0.0,0.0
2026-07-22,790.0,810.0,790.0,795.0,14800,0.0,0.0013,-0.0001,0.0017,0.0,-0.0001,0.0,0.0,-0.0028,0.0,0.0,0.0,0.0,0.0
2026-07-23,810.0,815.0,795.0,795.0,18500,0.0,-0.0049,0.0113,0.0006,0.0,500.0,0.0,0.0,-0.0011,-0.0055,0.0,0.0,0.0001,-0.0004
2026-07-24,800.0,810.0,800.0,810.0,6300,0.0,0.0021,0.0001,-0.0014,0.0,0.0,-0.0014,0.0,0.0006,0.0,0.0,0.0,0.0,0.0
