Date,Close,High,Low,Open,Volume,NI,PD,OD,AZ,MG,YP,YU,XC,CC,XL,CP,DH,XA,BQ,AG,KI,DR,SQ,EP,PI,BF,LG,KK,ZP,MU,GR,AO,YB,AT
2026-07-13,565.0,575.0,565.0,570.0,6000,-0.0005,0.0,0.0,0.0,0.0,0.0001,0.0,0.0015,-0.0017,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0
2026-07-14,640.0,705.0,595.0,705.0,2099200,0.0468,-0.023,-0.0268,-0.1694,-0.0004,0.0747,0.0267,-0.1005,-0.0347,0.0822,0.0362,0.0002,-0.0034,0.0,0.0137,0.0002,0.0003,0.0026,0.0,0.0056,-0.0176,0.0008,0.002,-0.0006,-0.0247,0.0034,0.1058,0.0,0.0
2026-07-15,615.0,655.0,595.0,630.0,566600,0.0037,-0.004,0.0001,-0.0159,0.0,0.0016,-0.0174,0.0073,0.0213,0.0018,-0.0129,0.0012,0.0002,0.002,0.0,0.0126,0.003,0.0006,0.0001,-0.0054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,595.0,645.0,590.0,615.0,239000,0.0006,0.0001,0.0206,0.0001,0.0045,-0.0294,0.0,0.0223,0.0008,-0.0075,0.0,0.0036,0.0015,-0.0001,-0.0061,-0.0122,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,600.0,600.0,595.0,595.0,116000,-0.0083,-0.0034,-0.0001,0.0001,-0.0042,0.0013,-0.0179,-0.0017,0.0018,0.0502,-0.0179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,600.0,625.0,595.0,600.0,61600,-0.0055,-0.0046,-0.0005,0.0,0.0,0.007,0.0,0.0002,-0.0018,0.005,-0.0001,-0.0024,0.0007,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,595.0,610.0,585.0,610.0,112200,0.0,-0.0082,0.0,0.0001,0.0,0.0001,0.0,0.0017,0.002,-0.0182,0.0,0.0012,0.0003,0.0,0.0,0.0,0.0006,0.0,0.0207,0.0,0.0,-0.0006,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,595.0,595.0,585.0,595.0,73200,0.0,-0.0052,-0.0001,0.0,0.0,0.0001,0.0,0.0015,0.0009,-0.0103,0.0,0.0012,0.0005,0.0,0.0,0.0123,0.0008,0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,590.0,595.0,585.0,590.0,67000,0.0,-0.0149,0.0,0.0,0.0,0.0001,0.0,-0.0005,0.0012,0.0226,0.0,0.0,0.0,0.0,0.0,-0.0115,0.0,0.0,0.0041,0.0,0.0,0.0,0.0009,0.0,0.0,-0.0019,0.0,0.0,0.0
2026-07-24,600.0,610.0,585.0,610.0,54900,0.0015,0.0002,0.0,0.0,0.0008,-0.0117,0.0,0.0001,0.0001,0.0099,0.0,0.0012,0.0001,0.0,0.0,0.0,0.0,0.0006,-0.0069,0.003,0.0,-0.0001,0.0006,0.0,0.0,0.0,0.0,0.0006,0.0
