Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,OD,YB,PI,SQ,YP,HP,XC,KK,XL,AI,EP,SF,PD,BQ,AG,KI,MG,GR,CC,AO,CP,QA,DR,AT,TP,DH,IF,IN,ZP,AZ,PC,LS,DX,ES,BR,LG,FZ,CD,YU
2026-07-13,60.0,63.0,59.0,60.0,13311000,-0.0067,0.0016,0.0002,0.001,-0.0326,0.002,0.0,0.0036,-0.0278,0.0,-0.0126,0.005,0.0938,0.0,-0.0039,0.0,-0.0068,-0.0013,0.0002,-0.0,0.0114,0.0012,-0.0085,0.0,-0.0332,0.0005,0.0057,-0.0004,0.0001,-0.0,0.0,0.0124,-0.001,-0.0018,0.0,0.0048,-0.0062,-0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-14,61.0,63.0,59.0,61.0,6609200,-0.0104,-0.0019,-0.0,-0.0043,0.0072,-0.0001,0.0,-0.0015,-0.0098,0.0,-0.0143,-0.0114,0.0371,0.0,0.0313,0.0,-0.0073,0.0042,0.0,0.0001,-0.0148,0.0,0.0189,0.0,0.0025,0.0,0.0012,-0.004,0.0,-0.0018,0.0,-0.0128,0.0003,-0.0006,-0.0,-0.0048,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,61.0,62.0,60.0,61.0,3284400,-0.0018,0.0016,0.0,-0.0013,0.0138,0.0017,0.0,-0.0034,0.0445,0.0,0.002,-0.0052,-0.0318,0.0,-0.006,0.0,-0.011,-0.0009,0.0,0.0,0.0024,-0.0012,-0.022,0.0183,-0.0012,0.0,0.0,0.0012,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,61.0,63.0,60.0,61.0,5691900,-0.0242,-0.0003,-500.0,0.0002,-0.0183,-0.0011,0.0,-0.0004,-0.0031,-0.0001,-0.0167,-0.001,0.0039,0.0,0.0012,0.0,-0.0031,0.0227,0.0,-0.0003,0.0,0.0332,0.0063,0.0093,-0.0003,-0.0005,-0.0041,-0.003,-0.0005,0.0004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,61.0,62.0,60.0,62.0,2384400,-0.0057,-0.0047,0.0005,0.0003,-0.0,-0.0011,0.0012,0.0003,0.0021,0.0,-0.0042,0.0198,-0.0649,0.0061,-0.0031,-0.0,-0.0046,0.0013,0.0,0.0,-0.0019,0.0366,0.0171,0.0027,0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,62.0,63.0,60.0,61.0,4804500,-0.0006,-0.0027,-0.0005,-0.0088,-0.0032,0.0,-0.0012,-0.0046,-0.0471,0.0,0.0114,0.0,0.1474,-0.0061,0.001,0.0,0.011,-0.0031,0.0,0.0,0.0135,0.0131,0.0087,-0.031,-0.0916,0.0,-0.0109,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0,0.0,0.0094,0.0,-0.001
2026-07-21,60.0,63.0,59.0,62.0,17939600,0.0,-0.0025,0.0,0.0203,0.0207,0.0,0.0024,0.0196,0.0249,-0.0012,0.0141,-0.0597,0.3557,0.0,-0.0109,0.0,0.0202,0.0029,-0.0001,0.0064,-0.0006,0.0304,0.0399,0.0,0.0088,0.0,0.0056,0.0012,0.0,0.0,-0.0001,0.0,0.0,0.0001,0.0,0.0067,-0.0031,0.0,-0.5031,0.0003,0.0,0.0,0.0012
2026-07-22,60.0,60.0,58.0,60.0,5344000,0.0,0.0007,0.0,0.0036,0.0036,-0.0001,-0.0006,0.0,-0.0106,0.0,-0.0028,0.0038,0.0482,0.0,0.0065,0.0,-0.0098,-0.0047,0.0,-0.0058,-0.0443,0.0041,0.0184,0.0,-0.0111,0.0,-0.0041,0.0012,0.0,0.0,0.0,0.0,0.0,0.001,0.0,-0.0066,0.0089,0.0,0.0,0.0,0.0,0.0002,0.0
2026-07-23,60.0,61.0,59.0,59.0,7800900,0.0,-0.006,-0.0003,0.0052,-0.0043,-0.0003,-0.0011,-0.0024,-0.032,0.0,-0.0328,-0.051,0.0089,0.0,0.0038,0.0,-0.0021,-0.0147,0.0,0.0,0.0,0.0,0.0065,0.0,-0.0214,0.0,0.0,0.0001,0.0,0.009,0.0,0.0,0.0,0.001,0.0,0.1244,0.0,0.0,0.0,0.0,0.0094,0.0,0.0
2026-07-24,56.0,61.0,54.0,61.0,27304600,0.0,0.0206,0.0,0.01,0.0027,0.0083,-0.0009,0.0154,0.0504,0.0,0.0323,0.0424,0.3839,0.0,-0.0051,0.0,0.0101,0.0029,-0.0001,0.0028,0.0413,0.0146,0.1143,0.0,-0.2025,0.0,0.0264,-0.0063,0.0295,0.0012,0.0,0.0,0.0009,0.0057,0.0,-0.1062,0.0087,0.0,-0.5033,0.0,0.0,0.0,0.0
