Date,Close,High,Low,Open,Volume,ZP,AK,NI,DH,RO,XA,PD,OD,AG,FS,GR,YP,SQ,KK,XC,CC,XL,CP,BQ,RG,QA,DR,AZ,TP,MG,EP
2026-07-13,690.0,695.0,690.0,690.0,9800,0.0,0.0,0.0,0.0014,0.0,0.0,0.0007,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0001,-0.0006,-0.0032,-0.0028,0.0002,0.0,0.0,0.0,0.0041,0.0,0.0,0.0
2026-07-14,695.0,695.0,650.0,650.0,12400,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,-0.001,0.0,0.0,0.0,-0.0001,0.0001,-0.0,-0.0004,-0.0013,0.0019,0.0,0.0001,0.0003,-0.0001,-0.0,0.0,0.0,0.0,0.0
2026-07-15,695.0,720.0,680.0,700.0,16100,-0.0001,0.0,0.0,-0.0035,0.0006,0.0,0.0001,0.0004,0.0,0.0,0.0,-0.0001,0.0,-0.0,-0.0005,0.001,0.0044,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,695.0,695.0,680.0,690.0,7500,0.0,0.0,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0,0.0014,0.0005,0.0005,-0.0027,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,680.0,710.0,680.0,700.0,148000,0.0029,0.0002,0.0007,0.0087,-0.0007,-0.0003,0.0006,0.0002,0.0001,-0.0009,-0.0014,0.001,-0.0003,-0.0001,-0.0053,0.059,0.0196,-0.0841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,700.0,740.0,680.0,680.0,54300,-0.0007,0.0,-0.0007,0.0012,0.0001,-0.0005,0.0008,0.0023,-0.0001,-0.0007,0.0,0.0011,0.0014,0.0,0.0016,-0.0192,0.014,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0
2026-07-21,700.0,720.0,700.0,700.0,42000,0.0,0.0,0.0014,-0.0004,0.0002,0.0,0.0002,0.0005,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0044,-0.0001,-0.005,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,710.0,735.0,700.0,705.0,72900,0.0,-0.0001,0.0001,0.0011,0.0011,0.0,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0059,0.0011,0.0001,-0.0083,0.0002,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0001
2026-07-23,715.0,725.0,705.0,725.0,29700,-0.0007,0.0,0.0054,0.0023,0.0,0.0,0.0002,-0.0005,0.0,-0.0007,0.0,0.0,-0.0015,-0.0021,-0.0008,-0.0018,0.0007,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0008,0.0004,0.0
2026-07-24,690.0,715.0,690.0,715.0,43600,0.0007,0.0,0.0003,0.004,0.0001,0.0,-0.0021,0.0007,0.0,0.001,0.0,-0.0006,0.001,-0.0001,0.0005,-0.0202,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0
