Date,Close,High,Low,Open,Volume,BK,HD,RO,NI,XA,OD,YB,SQ,YP,YU,JB,XC,LG,KK,XL,AK,YJ,ZP,AT,TP,EP,DH,PD,BQ,FZ,AZ,KI,PC,MU,GR,CC,DX,CP,PO,AO,DR,IF,AG,MG,BS,GI,HP,AI,CD,LS,QA,RG
2026-07-13,4220.0,4230.0,4160.0,4160.0,934100,0.22,-0.0126,-0.003,0.1175,0.1857,0.0762,0.0198,-0.0127,-0.0519,-0.0451,0.0,0.0428,-0.0004,-0.1376,-0.4158,0.6296,0.0,0.1608,0.0088,0.0,0.1054,-0.0084,-0.5144,0.0,0.0,-0.0969,0.0051,0.0,0.0,-0.113,-0.1514,0.0844,0.0013,0.0,0.0,0.0113,0.0147,0.0,0.0,-0.0422,0.0042,0.0042,-0.1076,0.0211,0.0,0.0,0.0
2026-07-14,4260.0,4340.0,4220.0,4220.0,1644100,0.0694,0.0043,0.0073,0.2251,0.0395,0.0025,-0.002,-0.0177,-0.0603,-0.1592,0.0,-0.1653,-0.0086,-0.0203,-1.1,0.4747,0.0,0.0308,-0.0416,-0.0464,-0.0407,-0.0312,-0.1242,0.021,-0.0009,0.0233,0.0013,0.0004,0.0,-0.1166,0.287,0.1293,0.6485,0.0,-0.0034,-0.0051,-0.0151,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,4310.0,4320.0,4240.0,4270.0,852400,0.1556,0.0017,0.0026,0.0669,-0.0064,0.1907,0.0,-0.0035,-0.0781,-0.0823,0.0,-0.1665,0.0009,-0.3891,-0.419,0.4779,0.0,0.0172,-0.0107,0.022,0.0009,-0.0185,-0.1989,0.0009,0.0,0.0013,-0.0529,0.0,0.0,-0.0009,0.5253,0.0,-0.0004,0.0,0.0,-0.0013,-0.0129,-0.0017,0.0009,-0.0216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,4270.0,4340.0,4270.0,4310.0,817900,0.1215,-0.006,0.0043,-0.1891,0.0009,-0.0019,0.0051,0.031,0.0201,-0.2597,0.0009,-0.0272,-0.0224,-0.0193,0.6178,-0.3594,0.0,-0.1246,-0.0005,-0.1054,0.019,0.0325,0.1477,0.0021,0.0,0.0,0.0069,0.0,0.0,0.0,-0.0004,0.0021,0.0863,0.0197,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4250.0,4280.0,4240.0,4270.0,695700,-0.1585,0.0013,0.0111,-0.1431,-0.0085,0.0032,0.0068,0.0506,0.0302,-0.2645,0.0256,0.0938,0.0013,0.0246,0.4316,-0.3601,-0.003,0.0187,-0.0132,0.0299,-0.0025,-0.0119,-0.1974,0.0038,-0.0009,-0.0047,0.0026,0.0004,-0.0034,0.0085,0.3764,0.0043,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4280.0,4320.0,4250.0,4250.0,1291000,0.6611,-0.0013,0.0043,0.0164,-0.1161,-0.0637,0.0055,-0.1012,-0.2336,-0.0292,0.0,0.1673,0.0009,-0.0806,-1.3,0.4292,0.0,0.2534,-0.0004,0.0004,0.1253,-0.0,-0.1866,-0.006,0.0,0.0,0.0,0.0176,0.0,0.0257,0.4934,0.0,0.0052,0.0,0.0,-0.0009,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.125,0.0,-0.0022
2026-07-21,4290.0,4310.0,4280.0,4280.0,497300,-0.1376,0.0004,-0.0068,-0.0499,-0.1719,-0.0674,0.0615,0.0236,0.0176,-0.0082,0.0,-0.0881,-0.0004,-0.0052,0.2549,-0.1044,0.0,-0.0043,0.0,-0.0047,0.0245,-0.0022,-0.0819,0.0013,0.0,0.0,0.0,-0.0009,0.0,0.0004,0.3335,0.0013,0.0078,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,-0.0034,0.0004,0.0
2026-07-22,4290.0,4320.0,4290.0,4290.0,536100,-0.0267,0.0021,0.0056,0.0855,0.003,-0.0044,0.0039,-0.0104,0.4165,-0.031,0.0,-0.007,0.0009,0.009,0.0648,-0.1006,0.0,0.0224,-0.0387,0.0094,0.0112,-0.0318,-0.245,0.0017,0.0,0.0021,-0.0108,0.0,0.0,-0.012,-0.1211,0.0026,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,-0.0043,0.0,0.0,0.0
2026-07-23,4300.0,4320.0,4290.0,4290.0,1287300,0.0052,-0.0026,-0.0103,-0.0155,0.0086,-0.2562,0.0099,-0.1837,-0.9586,-0.1979,0.0,-0.056,0.006,0.1805,-1.5,0.8451,0.0,-0.0722,0.0026,0.0125,0.0239,-0.0022,-0.1477,0.0,0.0,-0.019,-0.4966,0.0,0.0,0.0112,0.5045,0.0129,0.0004,0.0,0.0,2.3,0.0009,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-24,4270.0,4310.0,4260.0,4300.0,938100,0.0184,0.0141,0.0026,0.0384,0.0013,0.0287,0.0004,0.0451,-0.0125,-1.2,0.0,0.0017,-0.0167,0.0971,0.4324,0.3906,0.0,-0.1464,0.0026,-0.0961,-0.4574,0.0034,-0.0114,-0.0192,0.0,-0.0107,-0.0672,0.0021,0.0,0.0205,1.0,0.0021,-0.0884,-0.0196,0.0,-0.0004,-0.0009,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0
