Date,Close,High,Low,Open,Volume,XC,CC,YP,DR,ZP,PD,BQ,XL,OD,SQ,KK,KI,QA,NI,XA,RO,CP,AT
2026-07-13,346.0,364.0,336.0,364.0,9000,-0.0,-0.001,-0.0005,0.001,0.0,0.0,0.0,-0.0006,-0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,352.0,352.0,346.0,346.0,1500,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,-0.0002,-0.0001,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,350.0,350.0,346.0,348.0,1900,0.0002,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,350.0,350.0,350.0,350.0,1200,0.0,-0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,342.0,350.0,336.0,350.0,5100,0.0001,-0.0008,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,346.0,362.0,336.0,336.0,12500,-0.0003,-0.0003,0.0,0.0004,0.0,0.0,-0.0003,-0.0,0.0001,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,336.0,346.0,308.0,346.0,85700,0.0003,-0.001,0.0034,0.007,0.0,-0.0,0.0013,0.0005,0.0016,-0.0164,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0017
2026-07-22,374.0,374.0,334.0,340.0,41100,0.0015,-0.0007,-0.0024,0.0046,0.0,-0.0,-0.0013,0.002,-0.0011,-0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0
2026-07-23,364.0,370.0,348.0,370.0,60300,-0.0016,-0.0011,0.0016,-0.0059,0.0,0.0,-0.0,0.0064,0.0,0.0001,-0.0,0.0,0.0,0.0005,0.0,-400.0,0.0,0.0
2026-07-24,366.0,380.0,348.0,364.0,48200,-0.0002,0.0007,-0.0,-0.0067,0.0,-0.0,0.0,-0.0011,0.0113,0.0001,-0.004,0.0,-0.0,0.0001,0.0,0.0,0.0,0.0
