Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,SH,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,MG,PC,LS,CP,BK,RO,YU,ZR,AK,ZP,RF,TP,EP,PD,BQ,KI,PO,BR,GR,CC,DX,II,PG,QA,SS,FS,TS,AF,MU,IN,AT,OK,AO,FZ,IH,AH,SA,RG,BB,AG,ES,KZ,MI,CD,AR,RX,IU,DU,GA,SF,EL,DP,BS,RS
2026-07-13,334.0,334.0,306.0,312.0,123553700,-0.5269,-0.0167,0.0496,-0.1012,0.396,-0.0924,-0.0204,-0.4742,0.2304,0.0307,0.0691,0.4134,-0.6771,-1.2,0.2103,-0.0877,0.1031,0.6355,0.5844,0.094,0.0272,-0.0351,0.3083,-0.8453,-0.0141,-0.3114,-0.0622,3.0,-0.6226,0.0,-0.1819,0.6883,-1.7,-0.9766,1.6,0.0,-0.4937,-0.3029,0.2841,-0.007,0.0628,0.0,0.0091,0.0,0.0,0.0,0.0,0.0,0.0016,-0.0753,0.0,-0.0745,-0.0089,0.0,0.0005,0.0,-0.0083,0.0,0.0003,0.0,0.0,0.0,0.0334,0.0,0.0,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,370.0,380.0,336.0,350.0,612446600,2.8,-0.7616,-2.0,-0.6757,0.0225,0.0,-0.3603,-0.7791,-1.9,-0.7252,-1.2,2.0,-0.4235,-10.7,0.0,-0.1276,-0.316,5.1,1.7,-26.9,-0.4577,-0.2282,4.5,6.4,0.0,-1.6,0.0,9.2,-2.5,0.005,-0.6923,-0.4167,-0.5006,-0.8348,0.0,0.0,-0.482,2.6,7.1,0.8766,1.6,0.0,0.0093,0.0,0.0,-0.5034,0.0,-2.5,0.0137,0.0313,0.0,0.1828,0.0883,0.093,0.0,0.0,0.0,2.4,0.0,0.0019,1.9,-1.1,0.0115,0.05,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,364.0,374.0,358.0,372.0,141838600,-0.0655,0.125,0.0329,-0.1255,0.0,0.0,0.1756,0.0,1.3,-0.1396,-0.0587,2.0,0.4295,3.8,-0.0003,0.3663,0.085,0.2675,0.8663,-0.4113,-0.0032,-0.0023,0.752,-0.6847,0.1918,0.3384,0.0,-9.0,0.5572,0.0372,0.0,0.0,1.1,0.0,0.8173,0.0,-0.0165,-0.1278,-7.4,0.0343,1.8,0.0,-0.0006,0.0,0.0,0.0,-0.0003,0.0,0.0719,0.0,0.0,0.0,-0.0499,0.0364,-0.0006,-0.0002,0.0812,2.8,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,368.0,368.0,354.0,364.0,85122600,-0.4204,0.0452,-0.0735,0.0954,0.1669,-0.0002,-0.0864,-0.3461,0.2601,-0.0955,-0.121,0.1385,1.0,-1.7,-0.0193,0.0074,0.0351,0.0538,0.9473,0.2514,-0.0028,-0.0695,-0.0236,0.0757,-0.0184,-0.063,0.0,-0.1213,0.1569,0.0,-0.7474,-0.1317,0.5377,0.2864,0.0165,0.362,0.0,-0.8306,1.2,-0.001,-1.0,-0.0038,0.0023,0.0983,-0.0037,0.184,-0.0004,0.0018,-0.1449,0.0318,0.072,0.0706,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,362.0,368.0,360.0,366.0,68202300,0.0415,-0.002,0.1218,-0.0146,0.1371,0.0362,0.2425,0.7261,0.215,0.073,0.2918,0.5729,0.3235,1.4,0.0183,-1.2,-1.1,0.1542,-0.1369,0.1076,0.1525,0.2023,-3.3,-0.0769,-0.0002,0.7755,-0.0001,-3.4,2.1,1.6,0.1677,-0.6884,0.9564,0.0301,-0.3238,-0.362,-0.4887,0.2463,0.4328,-0.0073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,388.0,390.0,364.0,368.0,303532800,-0.3502,0.5245,0.7383,0.0249,0.089,-0.0405,0.0157,-0.1237,1.2,0.6063,2.0,0.6764,-0.7412,-3.2,-0.5184,-1.0,-1.8,0.5362,-0.1827,3.0,-0.2054,-0.0922,-0.8806,0.1979,0.0265,-0.3577,0.0,6.8,-0.6962,0.0,0.0511,0.474,1.6,-0.1931,-0.1119,0.0,0.0,-0.287,-7.0,0.3424,-0.9236,-0.0192,0.0,0.0504,0.0,0.0,0.0,0.0,0.0,-0.2664,0.0,-0.7205,0.0293,0.3594,0.0,0.0,-0.1441,0.0,-0.0239,0.0,0.0,0.0,0.0,0.0477,0.0,0.0,0.0096,0.0,0.0,0.0,0.4558,0.038,-0.0153
2026-07-21,392.0,404.0,384.0,390.0,284530300,0.2089,-0.0244,0.4959,-0.2947,-0.2315,0.0804,0.1003,0.2742,0.0647,0.6789,2.9,0.4258,0.2454,5.5,0.0785,0.1044,1.1,-0.7241,-0.5577,-0.9335,0.0,-0.0014,1.2,-0.2141,0.0,0.6489,0.0,-9.8,0.6139,-0.0307,0.0,-0.3288,-5.0,1.8,2.9,0.0,1.8,0.3237,-3.5,-0.0168,-0.0644,-0.0402,-0.0046,0.0,0.0,0.0,-0.02,-0.0041,0.0,0.0902,-0.08,0.1334,0.0,0.0,0.0,0.0,-0.008,0.0,-0.1126,-0.0199,0.2541,0.0,-0.0032,0.042,0.0,-0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,388.0,414.0,384.0,396.0,426252700,-0.0956,0.0331,0.0827,1.8,0.1317,-0.3634,0.4017,1.4,-1.8,-0.1009,0.2911,-0.255,0.5469,-2.5,2.1,0.1903,0.4741,-7.3,0.2669,0.3312,-0.0014,-0.0058,-0.6619,0.7082,-0.1533,-0.3621,0.0,8.0,-2.9,0.0,0.0,0.1214,0.2929,-0.2706,0.494,0.3909,0.0,-3.9,1.7,1.4,0.4017,0.0,0.0,-0.1058,0.0969,0.0,-0.0205,0.0,-0.0004,-0.0241,0.0,-0.2804,-0.0926,-0.453,0.0,0.0,0.0,-0.3995,0.0708,0.0,0.0,0.0,0.0,0.0,0.0,-0.073,0.0,0.2576,-0.0196,0.0,0.0,0.0,0.0
2026-07-23,390.0,406.0,384.0,390.0,287305500,0.4071,6.8,0.5909,0.3927,0.0776,0.0,0.0507,0.5338,0.0668,-0.3521,1.0,0.7294,-0.4958,0.6306,0.0337,0.3243,-0.2892,-0.7763,-3.3,-1.3,0.0,0.0,0.2795,-0.2567,-0.0457,0.0,0.0,-3.6,1.9,0.0194,0.0169,0.6851,6.0,-0.1633,-1.2,-0.3944,-0.0195,1.9,-3.9,-0.6214,-5.8,0.0,0.0252,0.0,0.0,0.0,0.0,0.0119,0.0,0.1604,0.0118,-0.0775,-0.001,-0.0594,0.0,-0.0098,0.0,0.0,-0.0502,0.0,0.0,0.0,0.0415,0.0,0.0,-0.0098,0.0,-0.16,-0.0004,-0.0001,0.0,0.0,0.0
2026-07-24,438.0,438.0,374.0,384.0,1055671300,-5.1,0.0,-0.6462,-1.9,-1.7,0.0,3.2,-2.0,-9.6,-1.0,-4.5,48.9,-2.6,-38.2,-2.5,-1.9,-0.9763,-0.5901,-1.0,0.0,0.0,0.0,-2.3,0.003,0.0,-2.5,0.0,16.9,-1.7,50.0,-2.4,-5.0,-16.3,0.8348,1.1,0.0,-2.0,1.1,14.3,1.9,-23.6,0.0,0.0056,0.0,0.0,0.7731,0.0,-7.5,0.0,0.0,0.0,-0.8518,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.4926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
