Date,Close,High,Low,Open,Volume,DH,PD,AZ,DR,KK,YP,XC,CC,XL,DX,ZP,EP,XA,OD,SQ,BQ,YU,CP,CD,NI,MG,GR,AT,FS
2026-07-13,133.0,141.0,133.0,141.0,69800,0.0,0.0027,0.0,0.0,-0.0014,-0.0001,0.0001,0.0007,0.0008,0.0,0.0,0.0,0.0,-0.004,0.0008,0.0001,0.0,0.0,0.0003,-0.0,0.0,0.0,0.0,0.0
2026-07-14,138.0,139.0,132.0,138.0,45700,0.0,0.0015,-0.0008,-0.0003,-0.0007,-0.0014,0.0004,-0.0008,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0011,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,138.0,139.0,130.0,135.0,248000,0.001,0.0262,-0.0287,-0.0,0.0021,0.0,-0.0003,0.0,-0.0026,0.001,0.0,0.0014,0.0003,-0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,136.0,139.0,135.0,137.0,30100,-0.0009,0.0004,0.0,-600.0,-0.0008,0.0,-0.0001,0.0,-0.0002,0.0002,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,137.0,139.0,134.0,136.0,32600,0.0022,-0.001,-0.0003,-100.0,-0.001,0.0008,0.0,-0.0001,-0.0018,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,138.0,139.0,135.0,139.0,27300,0.0003,0.0001,-0.0011,0.0,-0.0,0.0,0.0009,-0.0,-0.0016,0.0,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,-0.0003
2026-07-21,137.0,140.0,137.0,137.0,17900,0.0,0.0,-0.0006,0.0,-0.0003,-0.0,0.0004,0.0002,0.0009,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0,-0.0,0.0
2026-07-22,140.0,142.0,137.0,141.0,36100,-0.0002,0.0,0.0,0.0001,0.0002,0.0004,-0.0002,0.0002,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0014,0.0,0.0
2026-07-23,140.0,141.0,135.0,140.0,145900,0.0008,-0.0022,-0.0075,-200.0,-0.0003,-0.0009,-0.0001,0.0028,0.0046,0.0011,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0026,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,130.0,141.0,127.0,141.0,1329800,0.0007,0.0047,0.0,0.0001,0.0027,0.0049,0.0003,-0.09,0.0171,0.0,0.0,0.0001,0.0002,0.0006,0.0065,0.0054,0.0,0.0445,0.0,0.0,0.0023,0.0,0.0,0.0
