Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,DR,SQ,YP,YU,XC,KK,XL,YJ,ZP,TP,DH,PD,BQ,KI,GR,CC,CP,AT,AZ,GI,IF,LG,EP,YB,MG,RO,HP,LS,AI
2026-07-13,169.0,170.0,166.0,169.0,114600,0.0045,0.0,0.0,0.0005,-0.0,0.0004,0.0003,0.0,0.0008,0.0,-0.0023,0.0,0.0,0.0,0.0,0.0019,0.0,-0.0022,0.0001,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0048,0.0,0.0,0.0,0.0,0.0
2026-07-14,169.0,170.0,166.0,169.0,194400,0.0011,0.0001,0.0,-0.0005,-0.0009,0.0,0.0004,0.001,0.0006,0.0,-0.0196,0.0,0.0,0.0,0.0,-0.0009,-0.0012,-0.0008,0.0,0.0202,0.0003,0.0,0.0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,169.0,170.0,166.0,169.0,261500,0.0045,-600.0,0.0,0.0,-0.0041,0.0,-0.0151,0.0001,0.015,0.0,-0.0014,0.0,0.0003,0.0,0.0,0.0089,0.0,0.0008,0.0,0.0049,0.0034,0.0,0.0,-0.0,-0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,172.0,173.0,166.0,167.0,518100,0.0006,-0.0001,0.0,-0.0007,-0.0221,-0.0001,-0.0273,0.0,-0.0089,0.0194,0.0095,0.0129,0.0,0.0,0.0,-0.0074,0.0,-0.0036,0.0,0.0276,0.0002,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,170.0,171.0,168.0,171.0,2438500,0.1703,0.0,0.0026,0.0019,-0.3164,0.0022,0.0305,0.001,0.0357,0.0081,0.03,-0.013,0.0,200.0,0.0011,0.0298,0.0055,0.0025,0.0008,0.0071,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,170.0,171.0,169.0,170.0,327300,0.0005,0.0,0.0,0.0005,-0.0364,-0.0006,-0.0018,0.0,0.0078,0.0,0.0043,0.0,0.0,0.0,0.0,0.0051,-0.0001,0.0,-0.0001,0.0093,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0105,0.0,0.0,0.0,0.0,0.0003,0.0003
2026-07-21,169.0,171.0,168.0,170.0,341100,-0.0235,0.0,0.0,0.0009,-0.0122,0.0026,-0.0037,0.002,0.0009,0.0023,0.012,0.0,0.0198,0.0,0.0,-0.0014,0.0,-0.0001,0.0001,0.001,0.0002,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-22,169.0,170.0,168.0,170.0,88100,0.0018,-0.0,-0.0026,0.0003,-0.0016,0.0025,0.0034,0.0,-0.0003,0.0008,-0.0039,0.0,0.0002,0.0002,-0.0,0.0001,0.0001,0.0,0.0,-0.0008,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,172.0,173.0,169.0,169.0,1611200,0.0093,0.0045,0.0,-0.001,-0.1469,0.0,-0.0005,0.0,-0.012,0.0032,-0.0364,0.0,0.0,0.0012,0.0,0.0096,-0.0001,-0.0025,0.1001,0.0134,0.034,0.0,0.0,0.0,0.0,0.0,0.0086,0.0,0.0154,-0.0,0.0,0.0,0.0
2026-07-24,170.0,172.0,168.0,172.0,211700,0.0017,-0.0003,0.0,0.0,0.0,0.0,0.0025,0.0,-0.0005,0.0007,0.0007,-0.0001,0.0,0.0,0.0001,-0.0054,0.0022,0.0,-0.0002,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
