Date,Close,High,Low,Open,Volume,BK,HD,RO,XA,NI,OD,DR,SQ,YP,ES,XC,LG,FS,AK,KK,XL,TP,DH,PD,AZ,IF,KI,GR,CC,DX,CP,AT,EP,BQ,AG,AO,QA,ZP,YB,PP,MG,RB,LS,YU,YJ
2026-07-13,338.0,338.0,328.0,334.0,3484000,0.0,-0.0001,0.0,0.0,-0.0202,0.1739,-0.098,-0.1111,-0.129,0.0,-0.0091,-0.001,0.0655,0.2164,-0.0052,-0.0218,0.0143,0.0326,-0.0727,0.0139,0.0,0.0758,-0.0336,0.2907,0.0,-0.3379,-0.0013,-0.0219,-0.001,-0.0002,0.0,-0.0002,-0.0003,-0.0142,-0.001,-0.0034,0.0,0.0,0.0,0.0
2026-07-14,338.0,342.0,334.0,342.0,1794500,0.0,-0.0001,0.0036,0.0,0.0298,0.0749,-0.0005,0.1347,-0.0942,0.0,0.021,0.0255,0.0,-0.0261,0.0007,0.0771,-0.0016,0.0026,-0.0023,0.0001,0.0,0.0,0.0081,-0.2608,0.0,0.0003,0.0,0.0067,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,334.0,340.0,334.0,340.0,1208000,0.0,0.0,0.0003,0.0,0.0481,0.1099,-0.0198,0.001,-0.0284,0.0,-0.0047,0.0005,0.0,-0.0163,-0.0001,0.0081,0.0042,-0.0101,0.0694,0.0006,0.0,0.0,-0.0,-0.1584,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,334.0,338.0,332.0,336.0,1663100,0.0,-0.0009,0.0003,0.0,-0.0026,0.0009,0.0008,0.0026,-0.0829,0.0,-0.0293,0.0008,0.0,-0.0241,0.0018,-0.0394,-0.0137,0.0508,-0.0018,0.0034,-0.0197,-0.1241,0.2344,0.024,0.0,0.0166,0.0041,-0.0007,0.0002,-0.0003,-0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,334.0,336.0,332.0,334.0,2304200,0.0138,0.0005,0.0008,0.0211,-0.0324,0.0036,-0.027,0.0025,-0.2182,-0.0101,-0.1049,0.0,0.0668,-0.0136,-0.0003,-0.0151,0.1617,0.1328,0.0097,0.004,-0.2104,0.1169,0.0301,0.0009,0.0003,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,336.0,338.0,334.0,336.0,947800,0.0226,0.0,-0.0034,0.0,-0.0039,0.0021,-0.0008,0.0021,-0.0866,-0.0135,0.0101,-0.0004,0.0,-0.0062,0.0,0.0017,0.0337,0.0,0.0716,0.0022,0.0,0.0,0.0135,-0.0483,0.0,0.0,-0.001,0.003,0.0017,0.0,0.0,-0.0004,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0002,0.0
2026-07-21,338.0,340.0,338.0,340.0,600600,0.0,0.0003,-0.0002,0.0,0.0065,0.0023,0.0003,-0.0002,0.0148,-0.0272,-0.0017,-0.0101,0.0,0.0035,-0.0011,0.0203,0.0,-0.0068,0.0018,-0.0421,0.0,0.0,0.0,0.039,0.0,0.0,-0.0021,0.0,0.0034,0.0,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0,0.0002,-0.0002
2026-07-22,344.0,344.0,338.0,340.0,1878600,0.0372,-0.0005,0.0002,0.0,0.0106,-0.0268,-0.0027,0.0006,0.009,-0.0343,-0.0153,-0.128,0.0,0.0,-0.0016,-0.0511,-0.0053,-0.0066,0.1397,-0.0199,0.0,0.068,-0.0303,0.0259,0.0,0.0,-0.0,-0.0166,0.0,0.0,0.0003,0.0,0.0007,0.0169,0.0,0.0,0.0,0.0,0.0299,0.0
2026-07-23,342.0,348.0,342.0,346.0,1659200,-0.0005,-0.0002,-0.0055,0.0502,0.0118,-0.0062,0.0077,0.0256,0.013,-0.0347,0.0381,-0.0005,0.0,-0.0081,0.0027,-0.0533,0.0116,-400.0,-0.0362,0.0025,0.0005,-0.0004,-0.0281,0.0617,0.0014,-0.0139,0.0,-0.0332,-0.0034,-0.0054,0.0,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0
2026-07-24,336.0,342.0,332.0,342.0,2176500,-0.0109,-0.0001,0.0003,0.0,0.0038,0.0056,-0.0015,0.0867,0.0164,0.0,-0.0593,0.0006,0.0,-0.0591,-0.0077,0.0622,-0.0111,0.0077,0.0882,-0.0741,0.0,-0.0088,-0.1102,0.0508,0.0007,0.0226,0.0007,-0.0069,0.0011,0.0,0.0,0.0008,0.0007,0.0008,0.0,0.0,0.0,-0.0003,0.0002,0.0
