Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,YB,DR,SQ,YP,XC,LG,KK,XL,ZP,AI,EP,TP,DH,PD,BQ,GR,CC,AO,AT,CP,HP,YU
2026-07-13,1480.0,1490.0,1475.0,1485.0,47400,0.0217,0.0031,0.0,-0.0004,0.0,0.0,0.0001,0.0004,-0.0073,0.0,0.0,-0.0094,0.0,-0.0015,-0.0024,0.0,0.0,0.0034,-0.0006,-0.0015,-0.0058,0.0,0.0,0.0,0.0,0.0
2026-07-14,1510.0,1510.0,1480.0,1485.0,252600,0.0,0.0,0.0,0.0043,0.0118,-0.0004,0.0001,-0.0052,0.0101,0.0,-0.0003,-0.028,0.0004,0.0,0.0001,0.0,0.0,-0.2174,0.0017,0.2353,0.017,0.0003,0.0,0.0,0.0,-0.0298
2026-07-15,1505.0,1510.0,1480.0,1510.0,28300,0.0001,0.0015,0.0,-0.0008,0.0041,0.0,0.0015,0.0004,-0.0018,0.0,0.0015,-0.0135,0.0,0.0,0.0003,0.0,0.0034,0.008,0.0,0.0002,-0.0051,0.0,0.0,0.0,0.0001,0.0
2026-07-16,1520.0,1520.0,1500.0,1505.0,91500,0.0021,0.0,0.0,0.0569,0.0,0.0,0.0003,0.0009,-0.0,0.0012,-0.001,0.0169,0.0,-0.0015,-0.0002,0.0,0.0,-0.0069,0.0005,-0.0015,-0.042,0.0,-0.0181,-0.0075,0.0,0.0
2026-07-17,1550.0,1555.0,1510.0,1520.0,191700,-0.0015,-0.0002,-0.0002,-0.0023,0.0397,0.002,-0.0151,0.0355,0.0024,0.0085,0.0016,-0.0927,0.0002,-0.0031,-0.0587,-0.0002,0.0026,0.0181,0.0006,-0.017,0.0801,-0.0003,0.0,0.0,0.0,0.0
2026-07-20,1555.0,1570.0,1550.0,1560.0,123000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1560.0,1570.0,1550.0,1550.0,65500,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1560.0,1565.0,1550.0,1560.0,49900,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1550.0,1565.0,1550.0,1560.0,73700,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1540.0,1565.0,1530.0,1550.0,106200,,,,,,,,,,,,,,,,,,,,,,,,,,
