Date,Close,High,Low,Open,Volume,BK,HD,NI,XA,RO,OD,YB,DR,SQ,YP,YU,HP,XC,LG,KK,AK,XL,AT,ZP,KZ,TP,EP,DH,PD,AZ,IF,BB,MG,KI,LS,BS,GR,CC,AO,DX,CP,AI,PO,RX,BQ,AG
2026-07-13,4630.0,4700.0,4600.0,4700.0,531600,0.262,-0.0,0.0476,0.0005,0.0009,0.0148,0.07,0.0005,-0.0097,0.0435,0.0,0.0,0.0088,0.0,0.0051,0.7052,0.1115,0.0,-0.1914,-0.1924,0.0,0.0023,0.0,-0.6814,-0.0014,0.0023,0.0,0.0,0.0,0.0009,0.0,0.023,0.0211,0.0,-0.1845,0.0,0.0,0.0,-0.0619,0.0028,0.0
2026-07-14,4650.0,4720.0,4500.0,4500.0,1863700,-0.4221,0.0285,0.0323,0.0,-0.0009,-0.0009,-0.0709,0.6138,0.0047,-0.0433,0.0,0.0018,-0.0293,-0.0069,0.0023,3.9,-0.1297,0.0,-1.1,-0.0944,-0.0014,0.0005,-0.0019,-1.6,0.0,-0.0284,0.0,0.0,-0.0,0.0009,0.0,0.0,1.7,0.1593,-0.0186,-0.0006,0.0,0.0,-3.0,0.0088,-0.0005
2026-07-15,4650.0,4750.0,4620.0,4650.0,817100,-0.4188,-0.0297,0.2227,0.0,0.0,-0.01,-0.0,0.612,0.0037,0.054,0.2,0.0,-0.0607,0.0,0.0014,-0.7665,-0.0782,0.0,-0.0652,0.0,0.0,-0.0005,-0.0,1.3,0.0,0.0,-0.3932,0.0,-0.0001,-0.0014,0.0,0.0,0.3429,0.0,0.0,0.0,0.0,0.0,-0.8514,-0.0118,-0.0756
2026-07-16,4570.0,4650.0,4510.0,4650.0,742200,-0.0697,-0.0001,0.0159,0.0009,0.0014,0.0174,0.0008,0.0138,0.0146,0.029,-0.6782,0.0,0.1126,0.0005,0.0001,0.5972,0.2051,0.0,-0.1551,0.0,0.0005,0.0018,0.0,0.1002,0.0,0.0,-0.8903,0.0,0.0,0.0009,0.0,0.0005,0.1018,0.0,0.0,0.0,0.7773,0.0402,-0.2388,0.0,0.0
2026-07-17,4490.0,4620.0,4470.0,4620.0,2051900,0.24,0.0077,-1.3,0.0014,-0.0004,0.1033,0.1414,-0.2028,0.0706,0.3511,-1.5,-0.0081,0.1822,-0.0429,0.0513,1.5,0.7874,0.009,-0.5483,-0.9574,0.1058,0.009,0.018,0.0969,0.0745,0.0049,-2.0,0.0619,0.0041,0.0027,0.0225,-0.0431,0.9674,2.8,-0.9462,0.0019,0.0,0.0,0.0,0.0,0.0
2026-07-20,4640.0,4670.0,4460.0,4510.0,1951700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4620.0,4700.0,4580.0,4640.0,1218200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4610.0,4670.0,4590.0,4620.0,1692000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4580.0,4660.0,4570.0,4620.0,1523800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4580.0,4640.0,4530.0,4580.0,2284600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
