Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,NI,XA,CC,OD,SH,DR,SQ,YP,ES,XC,LG,KK,XL,KZ,YJ,SA,AI,DH,AZ,IF,BS,MU,CP,BK,RO,YU,AK,AT,ZP,TP,EP,PD,BQ,BB,AG,KI,GR,RX,HD,YB,QA,HP,FS,MG,PC,LS,IN,PO,AO,DX,SS,CD,PG,RS,MI,FZ
2026-07-13,3120.0,3120.0,3070.0,3120.0,4602700,Barang-Konsumen-Primer,Makanan-Minuman,0.132,-0.0271,-0.9742,0.3487,-0.0,0.0866,0.6425,0.2079,0.0,0.2626,0.1351,-0.084,-0.3007,-0.4679,0.155,0.0,-0.0503,-0.0186,0.017,0.1425,-0.0031,0.0,-0.0267,0.496,-0.0012,0.8117,-0.6099,0.0427,-0.7932,-0.5913,0.0118,-0.6574,-0.0293,0.0,0.1332,0.0006,-0.0966,-0.0346,-0.0089,0.0619,0.0,-0.0,0.0,-0.1551,-0.0208,0.0074,0.0,0.0,0.0,0.0755,0.0,1.2,0.0,0.0,0.0,-0.0031
2026-07-14,3100.0,3130.0,3100.0,3130.0,6591800,Barang-Konsumen-Primer,Makanan-Minuman,0.3705,0.1659,0.6821,0.0106,-0.0,0.274,-0.9547,0.6338,0.0,0.429,0.0274,0.0,0.0188,0.0,-0.0141,0.0,0.2937,0.0,0.0,0.036,0.0,0.0,0.0308,-4.6,0.0,0.8216,2.4,-0.0112,-1.9,-0.0031,0.3387,0.0427,0.0131,0.0,0.0,0.0164,0.0863,0.0,0.0402,-0.0931,-0.0003,0.0358,0.0,-0.4721,0.1065,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.4945,0.624,0.0
2026-07-15,3070.0,3130.0,3070.0,3110.0,11886700,Barang-Konsumen-Primer,Makanan-Minuman,0.6634,0.0,4.8,0.1874,0.0,0.1564,1.7,1.6,0.0,1.1,-0.0273,0.5946,2.6,-4.8,0.154,0.0,0.3622,0.0503,0.0291,0.0,0.0,0.0,0.702,-18.1,0.0,-1.6,5.0,0.0,2.0,0.1277,0.1255,1.7,0.0,0.0,-0.1,0.0,0.3137,0.0,0.0563,0.0488,0.0,0.0461,0.0,0.0,0.0598,0.0,-0.618,0.0,0.0,0.0,0.922,-0.0022,0.0,0.0,0.0,0.0
2026-07-16,3110.0,3120.0,3070.0,3070.0,7163200,Barang-Konsumen-Primer,Makanan-Minuman,-0.2324,-0.0519,-1.1,-1.4,-0.0,0.0379,-0.263,-0.6027,0.0,-0.6961,0.4208,-0.4299,-0.856,0.0,0.0009,0.0,0.0341,0.0012,-0.0065,0.0,0.0,0.0,0.3184,1.4,0.0009,-0.2882,5.4,0.0065,-1.1,0.0818,-0.2257,0.1469,0.0031,0.0936,-0.0184,0.0311,0.0376,0.0,-0.0383,0.1961,-0.0053,0.013,-0.0047,-0.31,-0.0198,-0.0003,-0.619,0.0202,-0.0031,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,3120.0,3130.0,3090.0,3120.0,10363200,Barang-Konsumen-Primer,Makanan-Minuman,0.4067,-0.0001,2.0,-0.2829,-0.0,-1.0,0.0718,0.7547,0.0622,0.7782,-0.1797,-0.0379,1.2,-9.4,0.1733,-0.0077,0.0498,0.036,0.0836,-0.0621,0.775,0.0467,0.3034,2.1,0.5625,2.4,0.1694,-0.2301,4.5,0.079,-0.046,-0.3052,0.0739,-5.3,-0.0287,0.0336,0.1128,0.0729,0.0484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3110.0,3160.0,3100.0,3130.0,11179500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3130.0,3140.0,3100.0,3120.0,18892400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3210.0,3220.0,3120.0,3150.0,21587200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3310.0,3310.0,3200.0,3210.0,21563000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3230.0,3300.0,3160.0,3300.0,14477700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
