Date,Close,High,Low,Open,Volume,EP,NI,DH,XA,PD,AZ,MI,SQ,YP,XC,XL,AK,FS,KK,LG,CC,DX,BQ,YJ
2026-07-13,284.0,292.0,280.0,292.0,27800,0.0,0.0,0.0,0.0,-0.0046,0.0,-0.0015,-0.0005,0.0019,-0.0002,-0.0002,0.0,0.0,-0.0,0.0,0.0051,0.0,0.0,0.0
2026-07-14,284.0,288.0,284.0,284.0,25700,0.0,0.0,-0.0011,0.0,0.0021,0.0,0.0,0.0,-0.0001,0.0001,0.0002,0.0,0.0,0.0,0.0,-0.002,0.0028,0.0001,-0.002
2026-07-15,284.0,288.0,282.0,282.0,23000,0.0,0.0,0.0,0.0,-0.0052,0.0,0.0,0.0,0.0057,0.0,0.0001,-0.0005,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-16,288.0,288.0,274.0,282.0,238600,0.0,0.001,0.0,-0.0012,-0.0006,0.0,0.0019,0.028,0.0001,0.0014,0.0022,-0.0005,-0.0638,-0.0,-0.0,0.0035,0.028,0.0,0.0
2026-07-17,294.0,294.0,288.0,288.0,54300,-0.0,-0.0033,-0.0054,-0.0002,0.0013,-0.0,-0.0015,-0.0003,0.0059,0.0053,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,290.0,294.0,290.0,294.0,20200,,,,,,,,,,,,,,,,,,,
2026-07-21,292.0,296.0,288.0,290.0,82500,,,,,,,,,,,,,,,,,,,
2026-07-22,292.0,300.0,288.0,300.0,18700,,,,,,,,,,,,,,,,,,,
2026-07-23,294.0,300.0,288.0,290.0,3700,,,,,,,,,,,,,,,,,,,
2026-07-24,282.0,292.0,280.0,288.0,29900,,,,,,,,,,,,,,,,,,,
