Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,HP,XC,KK,XL,AT,ZP,SA,AI,EP,TP,PD,BQ,AZ,AG,MG,PC,GR,HD,DX,CP,RO,DH,PO,MI,KI,LG,FS,IF
2026-07-13,165.0,170.0,161.0,165.0,5199200,-0.0137,0.0504,-0.188,-0.034,0.0083,-0.0,0.0004,-0.0186,-0.0151,0.0,0.0108,0.0,0.125,0.0021,0.0,0.0,-0.0109,0.0,0.0,0.1186,0.0103,-0.0015,-0.1084,-0.0146,0.0,0.0321,-0.0,0.0,0.0469,-0.0001,0.0,0.0,0.0,-700.0,0.0,0.0,0.0
2026-07-14,161.0,168.0,160.0,168.0,2337100,-0.0057,-0.1451,-0.0547,0.0181,0.0089,0.0,-0.001,0.0,0.0025,0.0,-0.0101,-0.0004,0.002,0.0026,0.0,0.0,0.0144,0.0,0.0,0.0067,0.0016,-0.0003,0.0789,0.0,0.0,0.0267,-0.0,0.0,0.0171,0.0001,0.0,0.0001,0.0378,0.0,-0.006,-0.0001,0.0059
2026-07-15,163.0,165.0,161.0,162.0,1223500,-0.0017,0.0644,0.0108,-0.011,0.0,0.0,-0.0032,-0.0028,0.005,0.0,0.0028,0.0,-0.0691,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0077,-0.0067,0.0,0.0021,0.0012,0.0,0.015,0.0001,0.0,0.0006,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
2026-07-16,166.0,166.0,161.0,163.0,2300600,0.0,0.0274,0.0761,-0.1443,0.0,0.0,-0.0033,-0.015,0.0452,0.0,0.0128,0.0609,0.0012,0.0007,0.0,0.0,0.0,0.0146,0.0,0.0264,0.0,0.0,-0.0229,0.0,0.0,0.0,-0.0002,0.0,-0.0634,-0.0001,-0.0158,-0.0011,0.0008,0.0,0.0,0.0,0.0
2026-07-17,177.0,186.0,163.0,165.0,9716900,-0.0051,0.0643,-0.0562,-0.0361,0.0015,0.0005,0.0001,0.021,0.0694,-0.0,-0.0001,0.0216,0.0101,0.004,0.051,-0.0532,0.0063,0.0954,0.017,-0.0212,0.0063,-0.0001,-0.1796,0.0003,0.0,-0.0013,0.0,-0.002,-0.0141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,180.0,186.0,176.0,177.0,5772700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,180.0,184.0,178.0,181.0,1452200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,177.0,182.0,177.0,180.0,1844200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,175.0,180.0,175.0,177.0,1636400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,178.0,190.0,175.0,175.0,3270200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
