Date,Close,High,Low,Open,Volume,EP,NI,RO,PD,OD,YU,XC,CC,XL,RB,DU,AZ,MU,GR,AT,SQ,KK,BQ,BS,LG,ZP,YP,DX,CP
2026-07-13,5000.0,6400.0,4980.0,6400.0,94100,0.079,0.001,0.0,0.0138,0.0183,-0.2831,0.0947,0.0514,0.0954,0.0,0.0,0.0376,0.0112,0.0025,0.0,0.005,0.0005,0.0,0.0,0.0,-0.0426,-0.0001,-0.0872,0.0025
2026-07-14,5000.0,5300.0,5000.0,5300.0,23800,-0.0011,0.0005,0.0015,-0.0092,0.0025,-0.0428,0.0039,-0.0043,0.0359,0.0,0.0,0.0193,0.0,0.0,0.0,0.0,0.0,0.006,-0.0125,0.0002,0.0,0.0,0.0,0.0
2026-07-15,5050.0,5175.0,5000.0,5000.0,15500,0.0436,0.0015,0.001,-0.0047,0.0005,-0.0235,0.0057,0.0108,-0.0308,0.0,0.0005,0.001,0.0,0.0,0.0,-0.0051,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,4980.0,5150.0,4970.0,5000.0,64400,0.014,0.0221,0.001,0.0061,0.011,-0.2693,0.018,0.1125,0.0498,0.01,0.0145,0.0174,-0.01,0.0005,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4960.0,5100.0,4960.0,5000.0,107700,0.4475,0.006,-0.001,0.0126,0.015,-0.4401,-0.058,0.0049,0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4750.0,4970.0,4740.0,4960.0,103000,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4710.0,4850.0,4500.0,4780.0,60300,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4710.0,4740.0,4710.0,4710.0,10400,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4680.0,4770.0,4680.0,4710.0,22500,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4640.0,4760.0,4640.0,4760.0,7200,,,,,,,,,,,,,,,,,,,,,,,,
