Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,SH,DR,SQ,DX,YP,ES,HP,XC,LG,FS,XL,KK,YJ,DH,FZ,IF,RG,AZ,MG,PC,LS,MI,CP,BK,RO,IN,RB,YU,ZR,AK,AT,ZP,EP,TP,PD,GA,BQ,AG,KI,PO,GR,CC,AO,IH,PG,AI,RF,CD,IU,BR,JB,DU,RS,OK,BB,ID,SA,EL,PF,MU,AP,SF
2026-07-13,640.0,650.0,610.0,620.0,233289500,-1.1,0.0197,-0.607,-0.9501,2.1,0.637,-0.3118,-1.3,-1.5,0.0073,4.6,-0.013,-0.0821,-0.2107,-0.8737,0.0563,2.4,0.3765,-0.0672,0.6614,-0.0842,0.7086,0.0,-4.2,-1.5,-0.0288,-0.1577,0.0,1.7,0.1885,0.0597,-0.01,0.0,0.3831,0.0,7.8,0.1949,-0.0544,0.0454,-0.6575,0.8916,0.2812,-0.0326,0.342,0.1572,-0.9485,-1.1,-8.4,0.0,0.0,0.0,0.146,0.0,-0.0024,0.0313,0.0,0.0,0.0,0.0,-0.0064,0.0,0.0,0.0,0.3105,0.0,0.0,0.0,0.0248
2026-07-14,630.0,670.0,630.0,645.0,308750400,1.5,0.0,0.8779,0.9326,-2.0,-0.0575,0.6572,0.6974,1.0,-0.0192,1.2,0.0,0.2362,1.3,0.9683,0.0,-9.7,-0.1602,0.0,0.0,0.0,0.0,-0.0073,-5.2,4.0,-0.0063,0.0,0.6575,1.9,1.8,-0.1644,0.6181,0.0,-0.4642,-0.0041,-8.6,-0.0576,1.6,0.9362,-0.4485,1.5,0.0,-0.237,0.4718,0.3402,-0.4853,0.5802,2.0,0.2192,0.0,-0.0394,0.0,0.2791,-0.014,-0.0297,0.0,0.0,0.6246,0.0,0.0,0.0,-0.0586,-0.0132,-0.325,-0.0225,-0.0013,-0.0034,0.0
2026-07-15,625.0,645.0,620.0,635.0,126517000,0.972,0.0,-0.0146,0.0,-1.5,0.0805,-0.6248,0.8762,1.4,0.0,-3.7,-0.0036,0.0749,1.2,0.4997,0.3068,1.5,-0.1092,0.1199,0.7061,0.0547,0.0669,-0.0019,0.4573,-1.8,0.0,0.0,0.0,-11.5,0.2198,0.0715,-0.64,0.0,-0.0792,-0.0083,3.6,-0.1301,-0.1655,-0.1529,-0.1662,1.3,-0.064,-0.4275,-0.0641,-0.1941,0.0,-0.3208,9.1,0.21,0.0,0.0,-0.0077,0.3175,0.0706,0.0,0.0318,-0.0025,-0.5592,0.16,0.127,-1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,630.0,640.0,615.0,630.0,113351900,0.5193,0.7797,0.3753,0.3205,0.0362,-0.0015,-0.0082,-0.394,0.063,-0.0053,0.5146,-0.009,-0.0226,-1.5,2.1,-0.635,-0.6388,0.2682,0.0055,-1.2,0.0617,0.0,0.0149,-3.8,-0.7365,0.0,0.0,-0.0032,-0.1642,2.1,0.3406,0.0635,0.0,0.6381,0.0,4.7,0.0313,1.1,0.3961,-1.1,-0.7084,-0.001,-0.4895,-0.1929,0.3144,-0.388,1.1,-3.4,-0.0588,0.0,0.0032,-0.4463,0.0221,0.018,-0.0315,-0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,630.0,640.0,610.0,630.0,110360900,-0.2044,-1.4,0.1625,-0.0678,-0.0558,0.0251,0.0011,-0.0199,-0.7741,0.5863,-0.2216,0.0023,0.3069,0.7996,0.3099,0.3001,1.7,-0.0698,-0.0163,-0.505,-0.2409,0.3364,0.0016,-0.9681,-0.1434,0.0,0.1235,-0.0065,-0.7078,0.8603,0.0133,-0.0378,-0.2953,-0.6669,-0.0189,-4.1,0.1057,0.5706,0.0886,0.0157,5.8,-0.065,-0.0361,-0.342,-0.1749,0.2215,0.1032,-1.3,0.0602,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,670.0,670.0,635.0,635.0,310137800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,735.0,750.0,670.0,680.0,807199700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,720.0,755.0,705.0,735.0,485325400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,755.0,825.0,710.0,720.0,923643800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,700.0,755.0,690.0,750.0,547805800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
