Date,Close,High,Low,Open,Volume,HD,RO,XA,NI,OD,YB,SQ,YP,HP,XC,KK,XL,AK,AT,DH,PD,BQ,AZ,IF,MG,GR,CC,DX,CP,EP,LG,FS,ZP,TP,MU,AO
2026-07-13,240.0,250.0,240.0,250.0,342000,0.002,0.0,0.0,-0.0004,0.0003,0.0005,0.0008,0.002,0.0057,-0.0106,0.0,0.0001,0.0001,0.0,0.001,0.0,0.0007,0.0,-0.024,0.0,0.0,0.0201,0.0,0.0,0.0,0.0006,0.0005,0.0005,0.0005,0.0,-0.0002
2026-07-14,246.0,248.0,240.0,242.0,279100,0.0005,0.0001,0.0,0.0007,-0.0,-0.0005,-0.0011,-0.0024,-0.0134,-0.0035,0.0,0.0019,0.0,0.0001,0.0011,0.0017,0.0,0.0,0.0,0.0,0.0001,0.0108,0.0,0.0049,-0.0004,-0.0006,0.0,0.0,0.0,0.0001,0.0
2026-07-15,250.0,250.0,242.0,242.0,208300,0.0006,-0.0,0.0,0.002,-0.0,0.0,0.0,-0.0007,-0.0002,0.0122,0.0,-0.0243,0.0001,0.0,0.0,0.0244,0.0,0.0,0.0,0.0,0.0,-0.0011,0.0,-0.0114,0.0,0.0,-0.0005,-0.0005,-0.0005,0.0,0.0
2026-07-16,248.0,250.0,242.0,250.0,77100,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0005,0.0014,0.0003,-0.0035,0.0001,-0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0024,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,246.0,270.0,236.0,248.0,1493600,0.0006,0.0001,0.0003,-0.0465,-0.0007,0.0,-0.0,0.0036,0.0132,-0.0062,-0.0001,0.0275,0.0,0.0001,0.0002,0.0007,0.0279,0.0049,-0.0242,0.0002,0.0002,0.0023,-0.0024,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,244.0,252.0,238.0,244.0,301700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,246.0,248.0,238.0,246.0,274800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,244.0,246.0,240.0,246.0,147600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,238.0,248.0,236.0,248.0,1325900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,238.0,238.0,230.0,238.0,2882900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
