Date,Close,High,Low,Open,Volume,NI,HD,XA,RO,OD,DR,SQ,YP,YU,ES,HP,XC,LG,KK,XL,AK,AT,ZP,AI,EP,TP,DH,PD,BQ,KI,PC,LS,MG,PO,GR,CC,AO,FZ,CP,BK,YB,QA,SS,CD,IF,AG,YJ,AZ,MI,TF,BB
2026-07-13,115.0,117.0,112.0,114.0,8402500,-0.0017,-0.0003,-0.0017,-0.0004,-0.0123,-0.0015,0.0496,0.0316,0.001,0.0,0.0,-0.0024,-0.0021,0.0327,0.2085,-0.0581,0.0,0.0,-0.0203,-0.0052,0.0056,-0.001,-0.0188,0.0002,0.0,0.0,0.0,0.0028,-0.3472,-0.0111,0.0292,0.0,0.0,-0.0002,0.0,-0.0004,0.0002,0.0,0.0,0.0,0.0,0.0,0.1745,0.0,0.0017,-0.0529
2026-07-14,116.0,119.0,114.0,116.0,7395500,0.027,0.0001,0.0012,0.0003,0.0005,0.0013,-0.0676,0.0277,0.0,0.0,0.0,0.0194,-0.0043,0.0408,0.118,-0.0027,0.0006,0.0,0.0,-0.0029,0.0215,-0.0001,-0.0231,-0.0016,0.0,0.0,0.0003,-0.0029,-0.0443,-0.0046,0.0605,0.0,0.0,0.002,0.0064,0.0028,0.0,0.0,0.0,0.0007,0.0,0.0,-0.1711,-0.0058,0.0,0.0
2026-07-15,115.0,117.0,114.0,115.0,12331200,-0.0022,-0.0001,0.0,0.0003,0.0008,0.012,-0.056,-0.084,0.0024,0.0,0.0012,-0.0345,-0.011,-0.0033,0.0431,-0.0,-0.0002,0.0,0.0,0.0052,0.006,0.1062,0.6239,-0.0035,0.0,0.0,0.0,-0.0,-0.8281,0.0015,0.2331,0.0,0.0011,-0.0,0.0052,0.0005,0.0,0.0,0.0006,0.0,0.0,-0.0174,-0.0023,0.0,0.0,0.0
2026-07-16,117.0,117.0,114.0,115.0,5070000,0.0029,0.0003,-0.0058,0.0,0.0005,0.0012,-0.1284,0.0531,0.0,0.0,0.0,0.0062,0.0006,-0.0221,0.0362,-0.0002,0.0012,0.0,0.0076,0.006,0.0058,0.0175,0.0055,0.0001,-0.0,0.0,0.0177,0.0,0.0,0.0053,0.0435,0.0,0.0003,-0.0032,0.0001,-0.0006,0.0005,-0.0575,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,115.0,117.0,112.0,116.0,30700600,0.0078,0.0005,0.1137,0.0002,0.0037,0.0432,-0.0002,0.2338,-0.2182,-1.7,-0.0017,0.0368,0.0013,-0.0176,0.2966,-0.0021,0.0003,-0.9597,0.0451,0.0785,0.0431,0.0645,0.999,0.0016,0.0001,0.0058,0.012,-0.0738,-0.0585,0.0028,1.1,0.0058,0.0009,0.0109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,115.0,117.0,114.0,115.0,16473500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,116.0,116.0,114.0,116.0,15290000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,116.0,117.0,115.0,116.0,5946400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,116.0,118.0,115.0,115.0,12356100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,115.0,116.0,113.0,116.0,9413200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
