Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,DX,XC,LG,KK,XL,YJ,AI,DH,FZ,AZ,IF,MG,LS,CP,RO,YU,AK,AT,ZP,EP,TP,PD,BQ,AG,KI,GR,HD,IH,PO,RS
2026-07-13,112.0,113.0,110.0,112.0,247000,-0.0003,0.0,-0.0049,-0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0054,0.0,0.0108,-0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0017,-100.0,0.0,-0.0,0.0,0.0,-0.0003,0.0008,0.0,0.0,0.0,0.0,0.0,-200.0,0.0,0.0,0.0
2026-07-14,111.0,113.0,110.0,111.0,826500,-0.0352,0.0,-0.0018,-0.0,0.0,0.0,0.0,0.0004,-0.0021,0.0,0.0029,0.0022,0.0144,-0.0033,0.0,0.0,-0.0028,0.0,0.0004,0.0006,0.0,0.0,0.0001,-0.0,0.0,-0.0007,0.0089,0.0,-0.0005,0.0014,0.0118,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0
2026-07-15,112.0,118.0,109.0,112.0,1735100,-0.094,0.0,0.0469,0.007,0.0,0.0,0.0,0.0,0.0004,0.0,0.0017,0.0011,0.0221,0.0387,0.0,0.0038,0.0006,0.0,0.0,0.0001,0.0,0.0006,-0.0444,0.0,0.0,0.0052,0.0,0.0033,0.0,0.0056,0.0024,0.0,0.0,0.0,-0.0044,-100.0,0.0,0.0033,0.0001
2026-07-16,112.0,113.0,110.0,112.0,834300,-0.0696,0.0,0.0013,-0.0006,0.0,0.0,0.0,0.0,0.0011,0.0,0.0004,0.0,0.0163,0.0062,0.0,0.0015,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0,0.0,0.0041,-0.0014,0.0011,0.0,0.011,0.0249,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0
2026-07-17,116.0,128.0,111.0,112.0,28006400,-0.1552,0.0002,-0.0133,0.0078,-0.0654,-0.0,-0.0005,0.0473,0.0091,-0.0055,0.016,-0.0037,-0.0994,0.3648,-0.0001,-0.0247,-0.0382,-0.0093,0.0004,-0.0188,-0.0028,-0.0,-0.0066,0.0001,-0.0123,0.0062,-0.0013,-0.0065,0.0038,0.0007,-0.0065,-0.0006,0.0,-0.0006,0.015,-0.0003,-0.0,0.0,0.0
2026-07-20,122.0,122.0,116.0,116.0,5005700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,121.0,124.0,117.0,123.0,1681100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,119.0,122.0,118.0,122.0,846700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,119.0,122.0,119.0,119.0,1806600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,121.0,124.0,116.0,119.0,2960900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
