Date,Close,High,Low,Open,Volume,BK,NI,XA,CC,OD,DU,YB,DR,SQ,YP,YU,XC,KK,AK,XL,AI,TP,EP,PD,BQ,AZ,KI,PO,GR,HD,CP,ZR,LG,YJ,DH,IF,FS,RO,AT,ZP,AO,MG,LS,BR,DX
2026-07-13,198.0,199.0,196.0,197.0,918600,0.0262,-0.0053,0.0001,-0.0417,-0.0109,0.0,0.0002,-0.0156,-0.0012,-0.0172,0.0,0.0973,0.0001,0.0,-0.0274,0.0002,0.0,0.0002,-0.0079,0.0,-0.0099,-0.0001,0.0,-0.0004,-0.0002,0.0,0.0,-0.0006,0.0099,-0.001,-0.0022,0.0,0.0001,0.0001,0.0,-0.0028,0.0,0.0,0.0099,0.0
2026-07-14,204.0,206.0,199.0,200.0,2032800,0.0734,0.0069,-0.0001,0.0236,-0.0,0.0,0.0003,0.006,0.0119,-0.0139,-0.0453,0.0159,-0.0073,-0.0234,0.0154,0.0,0.0,0.0051,0.0293,0.0133,-0.0,-0.0118,0.0,0.0001,0.0,0.0132,0.0,-0.0018,-0.0037,-0.0009,0.0235,0.0,-0.1017,0.0,-0.0055,-0.0033,-0.0041,-0.0049,-0.0103,0.0
2026-07-15,210.0,214.0,204.0,204.0,3216000,0.094,0.0118,-0.0026,-0.0222,-0.027,0.0006,0.0042,0.0297,-0.0181,0.018,-0.0371,0.0596,0.0112,-0.1089,0.0023,-0.0046,-0.0004,-0.0051,0.0152,0.0,-0.0036,-0.0023,0.0,-0.0117,0.0008,-0.0027,0.0,-0.0022,0.0082,-0.003,0.0001,-0.0004,-0.0013,-0.0003,-0.0005,-0.0018,0.0,0.0,0.0,0.0
2026-07-16,210.0,212.0,206.0,212.0,1545500,0.0473,-0.0694,0.0,-0.0048,0.0041,0.0007,0.0108,-0.0176,0.0098,0.0011,0.0,0.0041,0.0073,0.0004,0.0117,-0.0312,0.0103,0.0035,0.0113,0.0002,-0.0,0.0,0.001,-0.0019,-0.0006,0.0021,0.0062,-0.0011,0.0015,-0.0005,-0.0062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,208.0,212.0,206.0,210.0,1386400,0.02,-0.0028,-0.0136,-0.0294,0.0325,0.0002,0.0341,-0.0005,-0.0435,0.0582,0.0,-0.0582,0.0015,0.0004,-0.0245,0.0216,0.0021,-0.0007,-0.0156,-0.0,0.0007,0.0,-0.0008,0.0081,-0.0002,0.0105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,210.0,212.0,208.0,208.0,801400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,224.0,224.0,210.0,210.0,6799100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,226.0,230.0,218.0,226.0,3668000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,232.0,238.0,222.0,224.0,5082400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,224.0,230.0,222.0,230.0,3984200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
