Date,Close,High,Low,Open,Volume,IH,NI,RO,XA,CC,OD,ID,PG,QA,SH,DR,SQ,YP,YU,HP,XC,KK,AK,XL,AT,ZP,YJ,SA,EP,DH,PD,BQ,AZ,MG,KI,MI,MU,HD,FZ,CP,AH,YB,LG,FS,AI,IF,BK,IN,ZR,TP,IU,AG,GR,AO,KZ,EL,PC,GI,DX,LS
2026-07-13,117.0,117.0,111.0,114.0,6818700,0.0,0.0143,-0.0,-0.0007,0.0452,0.0051,0.0,0.0,0.0,0.0,0.0006,-0.0131,0.0176,-0.0,-0.0058,-0.0556,-0.008,-0.0262,-0.1371,-0.0028,0.0051,0.0001,0.0,-0.0014,0.0,-0.0124,-0.0016,-0.0192,-0.0014,0.0,0.0,0.0,0.0,0.0,0.0764,0.0,0.1081,0.0,-0.0063,0.0,0.0,0.0009,0.0,0.0,0.013,0.0,0.0,0.0006,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0058
2026-07-14,124.0,125.0,116.0,119.0,29460500,0.0246,-0.0933,0.0009,-0.0063,0.0309,0.0043,0.0,0.0,0.0,0.0,0.0003,-0.0062,-0.0486,0.0003,0.0,0.0756,0.055,0.1306,-0.2228,-0.0119,-0.0128,-0.0008,0.0,0.0002,0.0122,-0.0376,-0.0102,-0.0169,-0.0096,0.0,0.0,0.0,0.0,-0.0,-0.0559,0.0006,-0.1328,0.0195,-0.0003,0.0,0.1958,0.0749,0.0,-0.0002,-0.0491,-0.0087,-0.0122,0.008,0.1096,0.0,-0.0077,0.0003,-0.0,0.0001,0.0
2026-07-15,122.0,130.0,121.0,127.0,29090400,0.0,0.051,-0.0069,0.003,-0.1906,0.0066,0.0,0.0,0.0002,0.0,0.0022,0.0342,0.0294,-0.0024,0.0018,-0.0225,0.02,-0.1713,-0.1163,0.0145,0.0047,0.0074,0.0,-0.0009,0.0002,0.5315,-0.0068,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0,-0.3432,-0.0029,0.0038,0.0031,0.2357,-0.0792,0.0,0.0,-0.0141,0.001,0.0,-0.0032,0.0062,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,144.0,146.0,122.0,123.0,144018300,0.0443,-0.2064,0.0374,0.732,-1.4,-0.0716,0.0,0.0,0.0002,0.0,-0.0658,0.1348,0.0387,-0.0561,0.0063,-0.0466,-0.0615,0.0478,1.4,-0.0574,-0.0216,0.0012,0.0,-0.0239,0.0878,0.494,0.0028,0.008,0.018,-0.0365,0.0,0.0,0.0089,-0.0015,-0.0281,-0.0007,-1.2,-0.0289,-0.0043,-0.0086,0.3997,0.0038,-0.0012,-0.003,-0.0033,-0.0082,-0.0301,-0.0393,-0.0523,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,141.0,144.0,137.0,144.0,31336600,0.0257,0.0301,0.0346,0.2906,-0.5831,0.0038,0.007,0.0071,0.0053,0.0138,0.0283,-0.1768,-0.0125,-0.0042,0.1269,0.1095,0.0184,-0.1784,-0.3705,0.041,0.0068,0.0056,0.0041,0.0129,0.0145,0.4011,0.0085,0.0369,-0.019,-0.0043,-0.0002,0.021,-0.0001,0.078,0.0086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,142.0,144.0,140.0,141.0,14671800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,150.0,153.0,142.0,145.0,68537200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,171.0,182.0,150.0,150.0,142366400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,184.0,204.0,167.0,171.0,211893300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,174.0,182.0,169.0,182.0,51227400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
