Date,Close,High,Low,Open,Volume,ZP,NI,DH,PD,OD,BQ,YB,DR,KK,YP,SQ,GR,AT,XC,CC,XL,YU,CP,TP,IF,EP
2026-07-13,135.0,140.0,129.0,132.0,1487900,0.0013,-0.0,0.0001,-0.0016,0.0336,0.0003,0.0232,0.0,-0.0098,-0.0026,-0.0055,-0.0007,-0.0,-0.0027,-0.0224,-0.0077,0.0,0.0,0.0,0.0,-0.0056
2026-07-14,135.0,136.0,133.0,135.0,146400,0.0021,0.0,0.0,-0.0,0.0,-0.0005,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0,0.0009,-0.0037,0.0027,0.0,-0.0001,0.0,0.0,0.0
2026-07-15,134.0,135.0,129.0,135.0,148700,0.001,0.0,0.0,0.0008,0.0001,0.0,0.0,0.0,0.0019,0.0087,0.0,0.0017,-0.0,-0.0021,0.0005,-0.0123,0.0,0.0,0.0,-0.0003,0.0
2026-07-16,134.0,135.0,130.0,134.0,152300,-0.0003,0.0,0.0001,0.0017,0.0,0.0001,0.0,0.0,-0.0,0.0024,0.0,0.0027,0.0,-0.0021,0.0006,-0.005,0.0,0.0,-0.0001,0.0,0.0
2026-07-17,133.0,135.0,129.0,132.0,347300,0.0001,0.0001,0.0001,0.0033,0.0001,-200.0,-0.023,0.001,0.0019,0.0069,0.0011,0.0007,0.0,0.0027,0.0092,-0.0063,0.0,0.0019,0.0,0.0,0.0
2026-07-20,134.0,137.0,132.0,133.0,727400,,,,,,,,,,,,,,,,,,,,,
2026-07-21,137.0,137.0,133.0,133.0,136200,,,,,,,,,,,,,,,,,,,,,
2026-07-22,140.0,143.0,136.0,137.0,951100,,,,,,,,,,,,,,,,,,,,,
2026-07-23,140.0,143.0,140.0,140.0,450400,,,,,,,,,,,,,,,,,,,,,
2026-07-24,139.0,142.0,134.0,141.0,306500,,,,,,,,,,,,,,,,,,,,,
