Date,Close,High,Low,Open,Volume,BK,NI,HD,RO,XA,OD,YB,DR,SQ,YP,YU,HP,XC,LG,KK,XL,AK,AT,TP,EP,DH,PD,BQ,IF,AG,KI,PC,GR,CC,CP,QA,ZP,AI,PP,AZ,DP,DX,PG,BB,LS,YJ,AO,FZ
2026-07-13,1185.0,1185.0,1170.0,1170.0,2375900,0.0416,0.124,-0.0024,-0.0007,0.0189,0.0683,-0.0094,0.0041,-0.0325,0.3329,-0.4169,0.0,0.0205,0.1739,0.1665,0.2127,-0.5044,-0.1062,0.0576,0.0571,-0.0012,0.1454,-0.0004,-0.0004,0.0,0.0002,0.0002,0.0,0.1454,0.0457,0.0,-0.5993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,-0.0001
2026-07-14,1210.0,1225.0,1180.0,1190.0,4074800,-0.0769,0.0291,0.0,0.0005,-0.0201,-0.017,0.0724,-0.1641,0.0968,-0.1356,-0.0283,0.015,-0.0656,0.0064,0.4681,0.6559,-0.8377,0.0243,-0.1344,-0.0009,0.0283,0.4286,0.0539,-0.0053,0.004,0.0051,0.0,0.241,-0.6878,-0.0502,0.0,0.0886,0.0024,0.0,-0.0085,0.0,0.0001,0.0,0.0,0.012,-0.0001,0.0,0.0
2026-07-15,1210.0,1225.0,1185.0,1205.0,1861500,-0.1699,0.0258,-0.0272,0.0,-0.0004,0.1026,-0.0341,-0.0745,0.0194,0.2178,0.0004,0.0,0.0249,-0.006,0.1428,0.146,-0.2071,-0.0303,-0.0069,0.0033,0.0306,0.1858,0.019,0.0012,-0.4468,0.0051,0.0006,-0.0261,0.0827,-0.0965,0.0,0.0308,0.0,0.0,0.0103,0.0,0.0,0.0211,0.0679,-0.0121,0.0,0.0,0.0
2026-07-16,1215.0,1215.0,1195.0,1210.0,1919500,-0.1713,0.1872,0.0015,0.0024,-0.0003,-0.0278,-0.0105,0.0303,0.1701,0.0119,-0.1784,0.0,0.03,-0.0188,-0.0272,0.2653,0.0718,0.0,0.0102,-0.0112,0.0052,0.12,0.0037,0.0035,0.0,0.1295,0.0,0.0202,-0.0739,-0.0012,0.0006,-0.8077,-0.0024,0.216,0.0118,0.0452,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1215.0,1220.0,1195.0,1220.0,2694600,-0.3149,0.0093,0.0061,0.0005,-0.0001,0.0013,-0.0012,0.1005,0.1999,0.0715,0.0271,0.0845,-0.0231,0.0008,0.5585,0.1855,-0.0605,-0.0061,0.0185,-0.0114,-0.0387,0.2038,0.003,-0.0239,-1.3,0.2544,-0.0,0.0288,0.1057,-0.0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1220.0,1225.0,1210.0,1215.0,3418500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1230.0,1240.0,1200.0,1215.0,6939000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1260.0,1260.0,1210.0,1230.0,3692900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1350.0,1360.0,1240.0,1260.0,13331100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1310.0,1365.0,1310.0,1350.0,17331300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
