Date,Close,High,Low,Open,Volume,NI,DH,CC,PD,BQ,RG,GR,YP,SQ,HP,XC,KK,XL,CP,AK,OD,YB,KI,HD,RO,AZ,LG,DR
2026-07-13,220.0,224.0,216.0,224.0,195000,-0.0162,0.0059,0.0017,-0.0052,0.0002,0.0,0.0006,-0.0001,-0.0001,0.0,-0.0059,0.0017,0.0114,0.0,0.0,-0.0,0.0,0.0055,0.0,0.0,0.0,0.0,0.0006
2026-07-14,222.0,224.0,218.0,220.0,274000,0.0,0.0,0.0102,0.0068,0.0002,-0.0017,0.0,-0.0031,-0.0045,0.0,-0.0118,-0.0005,0.0081,0.0,0.001,-0.0046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,224.0,228.0,222.0,224.0,224500,0.0,0.0,0.0141,-0.0047,0.0066,-0.0006,0.0009,0.0008,0.0,0.0,0.003,0.0,-0.0212,0.0,0.0,0.0023,0.0,0.0,-0.0036,0.0002,0.0022,0.0,0.0
2026-07-16,226.0,228.0,220.0,224.0,71300,0.0,-0.0005,-0.0044,0.0001,0.0,-0.0,0.0001,-0.0008,-0.0034,0.0,0.0036,0.0,0.0015,0.003,0.001,-0.0044,0.0031,0.0011,0.0,0.0,0.0,0.0,0.0
2026-07-17,228.0,228.0,222.0,226.0,134400,0.002,-0.0066,-0.0035,-0.0002,0.0008,-0.0005,0.0003,0.0042,-0.0001,-0.0003,-0.0011,0.0055,-0.0074,0.0071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,228.0,230.0,222.0,228.0,342300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,234.0,234.0,226.0,228.0,712500,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,226.0,240.0,224.0,240.0,441000,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,234.0,238.0,224.0,226.0,718300,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,230.0,234.0,224.0,234.0,287400,,,,,,,,,,,,,,,,,,,,,,,
