Date,Close,High,Low,Open,Volume,BK,RO,IN,OD,YB,SH,SQ,YP,XC,FS,XL,KK,YJ,SA,AK,EP,TP,DH,PD,BQ,AZ,MG,GR,CC,AO,DX,CP,NI,XA,DR,LG,AT,ZP,KI,PC,RX,FZ,HP,IF,IU,RG,AF,QA,YU
2026-07-13,1040.0,1100.0,1035.0,1070.0,845400,0.0014,0.0045,-0.2749,0.0057,-0.0333,0.0037,0.0387,0.0227,0.0077,0.0005,0.2437,0.0058,-0.0518,-0.0422,0.0,0.0002,0.0005,0.0001,0.0041,0.0,-0.1061,0.0,-0.0071,0.1401,-0.0031,0.0,0.0094,0.0243,0.0,0.005,0.0,-0.0016,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,-0.0003
2026-07-14,1010.0,1050.0,1000.0,1040.0,1050300,0.0012,0.0121,-0.1388,0.0129,-0.0112,0.0,-0.0012,0.0148,0.0931,0.0005,-0.0974,-0.0017,0.0004,-0.0253,0.0011,0.0001,0.0397,-0.0007,-0.0452,0.0262,-0.0781,-0.0043,0.0008,0.1859,-0.0037,0.0,-0.042,0.0049,0.0,-0.0002,0.0118,0.0,0.0065,0.002,0.0179,0.0,0.0,0.0,0.0,0.0051,0.0177,-0.0051,0.0,0.0
2026-07-15,990.0,1015.0,950.0,1000.0,1186000,-0.0038,0.0169,-0.0679,0.012,-0.045,-0.003,0.0401,0.0275,-0.2266,0.001,0.0113,-0.0572,0.0187,-0.025,-0.0519,0.0011,0.0109,0.0008,0.013,0.0032,-0.0004,-0.0,-0.0293,0.0928,0.0044,0.0,0.2092,0.0007,0.0,0.0017,0.0069,-0.0005,0.0309,0.0001,0.0,0.0,0.0,0.0005,0.0069,0.0,0.0,0.0,0.0,0.0
2026-07-16,1040.0,1100.0,960.0,990.0,1021200,0.0036,0.0019,-0.0724,-0.011,0.0178,-0.0201,0.0061,-0.0286,0.0117,0.0194,-0.1638,-0.0282,0.0096,-0.0323,0.0,0.001,0.0273,0.0011,0.0386,-0.0033,0.0001,0.014,0.0792,0.1329,-0.0091,-0.0021,-0.0058,-0.0072,0.0297,-0.0048,0.0005,0.0003,-0.0009,-0.0001,-0.0053,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1005.0,1065.0,1000.0,1060.0,580300,-0.0077,0.0021,-0.0605,0.01,-0.1086,0.0086,0.0006,0.0058,-0.0197,0.0051,0.182,-0.0179,0.0005,-0.0202,-0.0012,0.0023,-0.012,-0.001,-0.005,0.0009,0.0,-0.0181,0.0103,0.0432,0.0046,-0.0001,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1015.0,1040.0,1000.0,1020.0,478600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,985.0,1025.0,980.0,1015.0,1532800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,960.0,1000.0,940.0,985.0,1815300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,985.0,995.0,960.0,960.0,1009500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,910.0,995.0,890.0,990.0,1298200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
