Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,DR,SQ,YP,HP,XC,JB,KK,XL,LG,AI,DH,AZ,IF,MG,CP,BK,RO,YU,AK,AT,ZP,TF,TP,EP,CD,PD,BQ,AG,KI,GR,RX,CC,AO,DX,ID,YJ,LS,MI,MU,RS,ES,PC,AF,DD,BB,FS,BS,RB,ZR,SF,IU,DU
2026-07-13,645.0,670.0,635.0,665.0,42957800,-0.3205,0.3489,-0.0712,2.0,0.1245,0.0209,0.0373,1.3,1.1,-0.0038,1.5,0.0,0.2024,4.2,0.0613,-0.0126,0.1059,-0.0606,0.0,0.3056,0.1239,-1.3,0.0144,0.3967,-4.4,0.0,-0.2397,0.0,-3.6,0.3907,0.0,0.5676,0.6239,0.0644,0.1583,0.5978,0.0,-4.2,0.0326,0.0396,0.0,-0.0006,0.0,0.0,0.0,-0.0896,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0129,-0.0001
2026-07-14,660.0,665.0,650.0,655.0,38735800,-0.0453,-0.3645,0.023,0.3163,-0.051,-0.0105,-0.1958,-0.0401,1.3,0.0034,-0.6553,0.0,0.0597,-2.7,0.2606,-0.0066,0.0026,0.1695,0.0009,2.1,0.3411,-1.3,0.0228,-0.071,-0.1445,0.0613,0.5754,-0.0018,-0.1053,-0.1727,0.0003,0.0896,-0.4887,0.1042,-0.1094,0.8933,0.0,0.2445,-0.0324,0.0253,-0.0132,0.0553,-0.0002,0.0,-0.0066,-0.0524,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,-0.0053,0.0328,0.0013,-0.0131,0.0
2026-07-15,650.0,665.0,640.0,660.0,17349900,-0.5245,0.3853,-0.0204,-1.5,-0.0079,0.0058,-0.1395,-0.3683,0.6428,0.0005,-0.0123,0.0,0.1241,-0.4117,0.0933,0.002,0.055,-0.1377,0.0193,-1.8,-0.0838,-0.0569,0.0018,0.0897,0.6005,0.0095,0.0215,-0.0001,0.4964,-0.0458,-0.0004,-0.0793,-0.0148,0.0129,0.2153,-0.014,0.0,-0.7598,-0.0101,0.0251,0.0,-0.0037,0.0007,0.0,0.0,0.0262,0.0064,0.0001,0.129,0.0075,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,645.0,655.0,640.0,650.0,13356600,-0.6262,0.5692,-0.0384,-0.0058,-0.0075,0.0004,-0.0275,-0.1015,-0.6028,-0.0095,-0.0333,0.0,0.2806,0.1265,-0.0671,0.0164,-0.0686,0.0181,-0.0003,-0.0001,-0.1335,0.4165,0.0016,-0.2248,-0.3971,-0.0392,-1.1,0.0,0.7646,0.3584,-0.0179,-0.009,-0.0217,0.0,-0.0003,0.225,0.0,0.6341,0.0001,0.0436,-0.0003,0.0001,0.0007,0.0001,0.0001,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,640.0,650.0,635.0,650.0,12606300,-0.0167,-0.5288,-0.0033,-0.2324,0.0037,-0.0004,0.4564,0.0569,0.6113,0.0168,0.1298,0.0002,0.0548,0.1852,-0.0462,-0.0019,0.012,0.0116,-0.0293,-0.5158,-0.2456,0.7095,-0.0073,0.0036,0.1016,0.0137,-1.5,-0.0,0.2822,-0.0608,-0.0153,-0.0352,0.0576,0.0001,-0.0624,0.0086,-0.217,0.2274,0.533,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,655.0,660.0,645.0,650.0,22372600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,660.0,660.0,650.0,655.0,19868000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,690.0,695.0,660.0,660.0,55707000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,700.0,705.0,690.0,695.0,54908700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,665.0,705.0,665.0,700.0,28121600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
