Date,Close,High,Low,Open,Volume,IH,NI,HD,XA,OD,YB,QA,SH,DR,SQ,YP,HP,XC,LG,KK,XL,TS,YJ,AI,DH,FZ,IF,AZ,MG,PC,LS,CP,BK,RO,IN,YU,AK,AT,ZP,EP,TP,CD,IU,PD,BQ,AG,KI,PO,BR,GR,CC,AO,DX,YO,RB,ES,DU,RF,SF
2026-07-13,72.0,75.0,71.0,73.0,184945200,-0.0,-0.006,0.0,0.0007,-0.0162,-0.1885,-0.0059,0.0,-0.0278,-0.0004,-0.0586,0.0011,-0.1046,0.144,0.0367,-0.2568,0.0,-0.0106,0.0036,0.0196,0.0,0.0003,-0.0479,0.2978,-0.0576,-0.5761,0.0708,0.0778,-0.0003,0.0,-0.012,0.2841,-0.0047,-0.0,-0.0288,0.0007,0.0037,0.0,-0.1416,-0.0214,0.0009,0.0544,0.0,0.0822,0.0028,0.4865,-0.0003,-0.0,0.0,0.0,0.0007,0.0,-0.0022,-0.0001
2026-07-14,71.0,77.0,69.0,72.0,467515700,0.0,0.7969,0.0,0.0909,0.2936,0.067,0.0043,0.003,0.0196,1.3,0.5816,0.0154,0.6731,0.0059,0.093,4.3,0.0,-0.2613,0.0205,-3.9,-0.3626,0.0,0.017,-0.3307,0.0,-0.3158,0.0072,-0.0782,0.0,0.0145,0.0082,-0.2173,0.0394,0.0053,0.077,0.0017,0.0,0.0,0.034,-1.4,0.0,0.0315,0.0,-0.2545,-0.0086,-1.4,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-15,69.0,71.0,68.0,71.0,69696400,0.0,0.3455,0.0,-0.0464,-0.0039,0.0323,0.0106,0.0,-0.0887,0.0333,0.4356,-0.0108,0.0241,-0.0136,-0.0089,-0.7222,0.0,-0.0066,0.0,0.0112,0.0001,0.0022,0.0296,0.0128,0.072,0.0,-0.001,0.0,-0.0006,-0.0147,-0.0073,-0.0423,-0.003,0.0081,0.0679,0.0014,0.0025,0.0015,0.0109,-0.0253,0.0004,-0.0613,0.0035,0.0,0.0007,-0.1062,0.0001,0.0,0.0035,0.0537,-0.0007,0.0002,0.0,0.0
2026-07-16,70.0,70.0,66.0,69.0,83083900,-0.0001,0.0056,0.0,-0.0062,-0.0201,-0.2225,-0.0022,0.0,0.0363,-0.0029,0.1567,0.0018,-0.0779,0.0323,-0.0626,-0.0362,0.0,-0.0,-0.0009,-0.0058,-0.0003,0.0341,-0.0271,-0.0377,-0.0718,0.0076,0.2477,-0.0006,-0.0014,0.0101,-0.0,-0.0522,0.0063,0.0021,0.0103,0.0031,0.0,0.0011,0.1924,0.0079,-0.0071,-0.0065,0.0,0.0,0.0001,-0.0555,0.0021,0.0,-0.0035,-0.0565,0.0,0.0,0.0,0.0
2026-07-17,68.0,75.0,68.0,69.0,2129403100,0.1242,-0.3886,-0.0031,-0.0106,-0.0061,0.2918,-0.0087,0.004,-0.1631,-0.8027,0.4402,0.0021,0.1336,-0.0216,0.0053,0.2499,0.025,-0.0431,-0.0184,-0.0024,0.0084,-0.0042,-0.003,0.2286,0.0067,0.0507,-0.0903,-0.0226,-0.0008,0.005,0.0015,0.073,-0.0284,-0.0106,-0.0069,-0.0032,-0.0,-0.0026,0.2096,0.0477,0.0036,-0.0073,0.0033,-1.2,0.009,0.943,-0.0078,0.0036,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,71.0,74.0,68.0,69.0,1051303900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,68.0,73.0,67.0,71.0,868828600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,66.0,69.0,66.0,68.0,109285800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,65.0,67.0,63.0,66.0,177446800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,61.0,64.0,58.0,64.0,123783600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
