Date,Close,High,Low,Open,Volume,BK,NI,HD,XA,OD,YB,QA,DR,SQ,YP,XC,KK,XL,AI,TP,DH,PD,AZ,IF,DP,KI,CC,CP,MI,ZP,LG,BQ,YU,RO,EP
2026-07-13,286.0,286.0,280.0,280.0,1663400,-0.0276,0.0003,0.0,0.0,0.01,-0.0006,0.0,0.0,-0.001,-0.0733,0.0001,-0.0001,0.0386,0.0,-0.1127,-0.001,-0.0782,0.0,0.0007,0.0,0.2834,-0.0159,0.0,0.0025,-0.0423,0.0,0.017,0.0,0.0001,0.0001
2026-07-14,284.0,286.0,282.0,286.0,1020400,-0.02,-0.0082,0.0,0.0,0.0049,0.0,0.0,0.0007,0.0074,0.0084,0.0162,0.0,0.093,0.0085,0.0,0.0,-0.0044,-0.0028,0.0007,0.0,-0.0548,-0.0194,0.0,0.0025,0.0,0.0001,0.0057,-0.0386,0.0,0.0
2026-07-15,284.0,286.0,282.0,284.0,501800,0.0,-0.0462,0.0005,0.0007,0.0004,0.0,0.0,0.0,-0.0141,0.0197,-0.0051,0.0057,0.0006,0.0,-0.0024,0.0,-0.0015,0.0,0.0,0.0,0.0706,-0.0009,0.0,0.0,-0.0282,-0.0001,0.0,0.0,0.0,0.0
2026-07-16,282.0,286.0,280.0,286.0,1975300,-0.0067,-0.053,0.0002,0.0,0.0,0.0,0.0,0.0,0.0007,0.0905,-0.1939,0.0003,0.2899,0.0,-0.0906,0.0,-0.0093,0.0018,0.0,0.0,0.014,-0.0463,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,280.0,284.0,280.0,280.0,1559100,-0.0218,-0.0332,-0.0005,0.0,0.0078,0.0015,0.0001,0.0071,-0.0139,0.032,-0.0405,-0.0412,0.0563,-0.0085,0.0063,0.0013,0.0073,0.0029,0.0014,-0.1503,0.0142,0.1725,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,284.0,290.0,280.0,284.0,2912300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,288.0,288.0,282.0,286.0,2816800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,296.0,308.0,284.0,288.0,6511700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,292.0,302.0,290.0,296.0,4749800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,284.0,292.0,282.0,292.0,1863100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
