Date,Close,High,Low,Open,Volume,BK,PD,AZ,PC,BR,SH,AT,XC,CC,XL,YJ,ZP,TP,YB,MU,SQ,YP,ZR,KK,NI,OD,YU,SF,MI,AO,AK,SA,IF,MG,BQ,DR
2026-07-13,1710.0,1710.0,1660.0,1690.0,31100,0.0,0.0005,0.0,0.0055,0.0,0.0152,0.0017,0.0027,-0.0137,-0.0028,0.0,-0.006,0.0,0.0,0.0,0.0,0.0005,0.0025,0.0,-0.0002,-0.002,0.0,0.0,0.0,0.0,-0.0007,0.0,0.0,0.0,0.0002,-0.0033
2026-07-14,1660.0,1740.0,1660.0,1720.0,63300,-0.0007,0.0007,0.0,0.0066,0.0034,0.0034,0.0079,0.0001,-0.0298,0.0114,-0.0304,-0.012,-0.0039,0.0,0.0,0.0012,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0339,0.0,-0.0042,0.0017,0.0005,0.0018,0.0,0.0
2026-07-15,1760.0,1800.0,1660.0,1800.0,139400,-0.0003,-0.0007,-0.0,0.0573,0.0655,0.0322,-0.0002,-0.0073,-0.0474,-0.0321,0.003,-0.0274,-0.002,0.0,0.0,-0.0005,-0.0011,-0.0033,-0.0172,-0.0158,-0.0002,-0.0,0.0034,-0.0163,0.0104,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1775.0,1775.0,1715.0,1735.0,48000,-0.0005,0.0002,0.0,0.0257,0.0095,0.029,-0.0044,-0.0037,-0.0183,-0.0209,0.0,-0.0035,-0.0059,0.0,-0.0138,0.0009,0.0042,0.0018,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1745.0,1775.0,1715.0,1775.0,41500,-0.0102,0.0002,0.0057,0.0086,0.0087,0.0052,-0.0018,-0.0004,-0.0041,-0.0114,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1870.0,1910.0,1740.0,1745.0,1020500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1905.0,2050.0,1850.0,1875.0,16222200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1975.0,2060.0,1945.0,1945.0,568200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2100.0,2170.0,1990.0,1990.0,837300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2030.0,2110.0,1975.0,2100.0,317900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
