Date,Close,High,Low,Open,Volume,NI,RO,OD,YB,RS,SQ,YP,YU,HP,XC,LG,KK,XL,AK,YJ,AT,ZP,EP,DH,PD,AZ,AG,IF,MG,LS,GR,CC,BK,XA,DU,DR,DX,BQ,RG,FZ,CP,QA,FS,BB,KI,AO
2026-07-13,1625.0,1645.0,1595.0,1645.0,1047300,0.0133,-0.0003,-0.028,0.025,0.0,-0.0144,0.0394,-0.0024,-0.0045,-0.1067,0.0005,0.0019,-0.2228,0.0807,0.0,0.0104,-0.0417,0.0207,-0.0016,0.0248,0.0048,0.0006,-0.1755,0.045,0.0,-0.0077,-0.1015,0.3254,-0.0002,0.0541,0.0002,0.0,-0.0526,0.0,-0.0003,0.1139,0.0,0.0,0.0,0.0,-0.0003
2026-07-14,1655.0,1675.0,1610.0,1650.0,1993300,-0.0586,-0.0242,-0.0328,-0.1754,0.0,-0.0803,-0.0813,-0.0016,-0.0086,-0.0115,-0.0414,-0.0425,0.4009,0.5683,-0.0248,0.009,-0.0006,-0.0301,0.0611,-0.0625,-0.0053,-0.0017,-0.9848,-0.0012,0.0,0.0036,0.349,0.2305,-0.0001,0.0,0.0023,0.0608,0.2462,0.0,0.0,-0.0687,0.0,0.0,-0.1905,-0.0008,-0.0025
2026-07-15,1570.0,1635.0,1565.0,1625.0,6833000,0.2736,0.0254,-0.1311,0.0904,0.0,0.2523,0.8309,-0.0009,0.0336,0.4611,0.0177,0.0955,1.4,-0.104,0.1641,0.0131,-0.0108,0.014,0.0237,0.2798,0.0054,0.0,-4.5,0.034,0.0471,0.2573,0.2404,0.0503,-0.001,0.0,0.1115,-0.0578,0.0078,0.0,0.0,0.0383,-0.0055,0.0589,0.0,0.0,0.0
2026-07-16,1555.0,1590.0,1555.0,1580.0,2139500,0.0614,0.0042,0.0341,0.1522,0.0,0.1507,0.2095,-0.1711,0.0105,0.2343,0.022,0.1298,0.4732,0.0102,0.0186,-0.0082,-0.0838,0.0404,0.0547,0.0673,0.0438,0.0,-1.5,0.0277,0.0,0.0788,-0.0181,-0.0003,-0.0937,-0.0518,0.0615,0.0009,0.0035,0.0082,0.0011,0.0252,0.0,0.0,0.0,0.0,0.0
2026-07-17,1505.0,1570.0,1495.0,1565.0,3217000,0.111,0.0072,0.0758,0.1356,0.075,0.2722,0.1469,0.1304,0.0197,0.1311,0.0179,0.0911,0.7203,0.057,0.1452,0.0101,-0.0902,0.1133,0.1645,0.3723,0.0246,0.0136,-3.0,0.0305,0.0753,0.0973,0.0639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1450.0,1540.0,1445.0,1510.0,3849800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1315.0,1455.0,1305.0,1455.0,17943100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1195.0,1345.0,1140.0,1315.0,23111200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1200.0,1280.0,1200.0,1235.0,20019900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1060.0,1205.0,1055.0,1200.0,15739200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
