Date,Close,High,Low,Open,Volume,NI,XA,OD,SQ,YP,YU,HP,XC,KK,XL,AK,AT,ZP,EP,TP,DH,IU,PD,BQ,AZ,KI,MG,GR,CC,CP,BK,RO,YB,DR,LG,IF,IN,YJ,MU,PC
2026-07-13,314.0,314.0,310.0,314.0,1621700,0.0187,0.0005,0.0591,-0.0042,0.0033,0.0031,-0.0093,-0.0374,0.0025,0.0936,0.0335,0.0537,-0.0078,0.0002,0.0,0.0039,0.0008,-0.1109,0.0025,-0.0099,0.0027,0.0078,0.0001,0.0095,-0.093,-0.0243,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0012
2026-07-14,318.0,328.0,314.0,314.0,3211900,-0.0475,0.0066,-0.0032,-0.0114,-0.0495,0.0,0.0234,-0.0135,0.0032,0.0714,0.073,-0.001,-0.0016,-0.0017,0.0033,0.0,0.0,-0.1306,0.0052,-0.0018,0.0,-0.0081,-0.0107,0.1692,-0.0135,0.0026,0.0002,-0.0083,0.0029,0.0016,0.0044,-0.064,0.0001,-0.0006,0.0
2026-07-15,328.0,330.0,318.0,320.0,3242300,0.0035,0.0075,-0.2012,0.0244,-0.056,0.0,0.0,0.0075,-0.0429,0.0024,0.1524,0.0134,0.0043,-0.0022,-0.0007,0.0646,-0.0041,-0.0531,-0.0047,0.0017,0.0,0.0407,0.0102,0.0425,-0.003,0.0,-0.0065,0.0,0.0003,-0.001,-0.0002,0.0,0.0,0.0,0.0
2026-07-16,336.0,336.0,322.0,332.0,1983200,0.0053,-0.0018,-0.0845,-0.0361,-0.0232,0.0,0.0,-0.0091,0.0323,0.005,0.0267,0.0291,0.0267,0.0074,0.0,0.0,-0.0017,-0.0024,-0.0028,-0.0048,0.0,-0.041,0.0002,0.032,0.0189,0.0311,0.0019,-0.0005,-0.0087,-0.0002,-0.0,0.0,0.0,0.0,0.0
2026-07-17,330.0,336.0,330.0,336.0,1324300,0.012,-0.0023,-0.0037,-0.0015,-0.0162,-0.0332,-0.0066,0.0246,0.0691,0.0364,-0.0398,0.0005,-0.0301,-0.009,-0.0015,0.0033,-0.0025,0.0345,0.0001,0.0016,0.0,-0.0003,0.0014,-0.02,-0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,332.0,340.0,330.0,332.0,2653700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,332.0,338.0,330.0,334.0,2015100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,332.0,340.0,330.0,332.0,2459100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,332.0,340.0,326.0,336.0,3209300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,326.0,334.0,320.0,332.0,2943700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
