Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,DR,SQ,YP,HP,XC,LG,KK,FS,XL,AI,DH,FZ,AZ,RG,MG,LS,MU,CP,BK,RO,DU,YU,ZR,AK,AT,ZP,TP,EP,SF,PD,BQ,AG,KI,AR,GR,CC,AO,DX,KZ,DP,PO,PC,BR,QA,YO,IF,FO,ES,PP
2026-07-13,52.0,53.0,52.0,53.0,32023100,0.0401,0.0357,-0.0005,0.0491,0.0014,0.0082,0.038,0.1375,0.0065,0.1872,0.0051,0.1036,0.0,0.3842,0.0,-0.0011,0.0,-0.0,-0.0047,-0.265,0.0,0.0,0.012,-0.044,0.0007,0.0,0.0016,0.0,-0.3131,0.016,0.0003,0.0,-0.0007,0.0002,0.045,-0.0029,0.0014,0.0004,0.0,0.001,-0.0297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,-0.416,-0.0003
2026-07-14,52.0,53.0,52.0,52.0,20538700,0.0324,-0.0114,0.0011,0.0026,-0.0,-0.001,0.0142,0.037,0.0013,-0.0796,-0.0019,0.0268,0.0,-0.0229,0.0,-0.0002,0.0,0.0076,0.0,0.0052,0.0,0.0,0.0289,0.0,-0.0,0.0,0.0169,0.0,-0.2517,0.0156,0.0,0.0,0.0138,0.0,0.0304,0.0207,0.0,-0.0003,0.0,0.0263,0.0724,0.0131,0.0,0.0,0.0,0.0,-0.0026,0.0,0.0055,0.0,-0.0001,0.0,0.0,0.0
2026-07-15,53.0,53.0,52.0,52.0,30411300,0.0549,-0.001,0.1041,0.1779,-0.0002,0.0296,0.0026,-0.0064,0.0971,-0.0342,-0.0022,0.004,0.0,-0.323,0.0,-0.001,0.156,0.0583,0.0,-0.078,0.0,0.0,0.074,-0.1805,0.0001,0.0052,0.0,0.0,-0.2079,0.0103,0.0022,0.0,0.0114,0.0,0.016,0.0011,0.0069,-0.0001,0.0,0.0053,0.018,0.0,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0
2026-07-16,52.0,53.0,52.0,53.0,20149600,-0.1602,0.052,-0.1061,0.0042,-0.0107,-0.0391,-0.1277,0.001,0.0001,0.0077,0.0035,0.0052,0.0,0.2482,0.0,0.0026,-0.0897,0.0112,0.0,0.0,0.0,0.26,0.0269,-0.104,-0.0001,0.0,0.0054,0.0,-0.1417,0.0011,0.0004,0.0,0.0106,0.0001,0.1077,0.0001,0.0,0.0024,0.0,0.0003,0.0086,0.0,0.0,0.0231,-0.0,0.0001,-0.0005,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,54.0,54.0,52.0,52.0,64795300,-0.0042,-0.106,-0.0007,0.0123,0.0709,-0.0243,-0.0452,0.0587,0.0001,-0.2158,-0.0038,0.0456,-0.0003,-0.5162,0.0008,-0.0009,-0.0683,-0.025,0.0,0.5762,0.0795,-0.265,0.2802,-0.1463,-0.0003,-0.0053,-0.0006,0.0053,-0.1464,-0.0445,-0.0608,0.0328,-0.0179,0.0001,-0.1716,-0.0007,0.0118,0.0024,-0.0108,0.2177,0.4623,0.0243,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,54.0,56.0,53.0,54.0,88193400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,54.0,55.0,53.0,53.0,54303900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,54.0,55.0,53.0,54.0,40366900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,55.0,56.0,53.0,54.0,73932000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,53.0,54.0,53.0,54.0,51670400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
