Date,Close,High,Low,Open,Volume,NI,RO,HD,OD,DU,YB,PG,QA,DR,SQ,YP,SS,YU,XC,LG,KK,XL,AK,AT,ZP,SA,TP,EP,DH,PD,AZ,IF,LS,BS,MU,GR,CC,AO,CP,BK,XA,HP,FS,BQ,KI,DX,YJ,TF,BB,RG,MG,FZ,JB,CD,AG
2026-07-13,1110.0,1115.0,1110.0,1115.0,2321400,0.0279,-0.0001,0.0037,-0.0037,0.0,0.0289,0.0,-0.0019,-0.0009,0.0152,-0.0139,0.0,0.0,-0.0539,0.0023,0.0032,0.1052,-0.6064,0.0,-0.7245,0.0,0.0672,0.0131,0.0549,-0.0721,0.0105,0.0,-0.0558,0.0,0.0,-0.092,0.341,0.101,0.0,-0.0044,0.0,0.0,0.0,0.003,0.0,0.0,0.0,-0.0013,0.8094,0.0,0.0444,0.0,0.0,0.0,0.0
2026-07-14,1110.0,1125.0,1110.0,1115.0,2280600,-0.0217,0.001,-0.0054,0.0231,0.0,-0.002,0.0,0.0264,0.0004,1.1,0.0371,0.0,0.0,0.0136,0.0006,0.0782,-0.1108,-0.7809,0.0,-0.7461,0.0,0.0007,-0.005,0.0133,0.1274,0.0006,0.0026,-0.0112,0.0,0.0011,-0.0896,0.2884,0.0,-0.0286,-0.005,0.0,-0.0022,0.0,0.0002,0.0,0.0,0.0,0.0,0.0508,0.0,0.002,0.0,0.0001,-0.0004,0.0001
2026-07-15,1120.0,1125.0,1110.0,1110.0,5500600,0.1028,-0.001,0.0018,0.0287,0.0002,0.0012,0.0,0.0,-0.065,-0.002,0.5626,0.0,0.0,0.0155,0.0018,0.0013,0.0059,-4.0,0.0337,-0.3346,0.0,0.0065,0.0346,2.1,0.0159,0.0011,0.0,0.0,0.0,0.0,-0.0637,1.1,0.001,0.0203,0.153,0.0,-0.0566,0.0,0.0037,-0.5534,0.0,-0.0001,-0.0022,0.7928,0.0002,0.0784,0.1115,0.0,0.0,0.0
2026-07-16,1130.0,1135.0,1115.0,1120.0,3010700,0.0114,0.001,0.0033,-0.0007,0.0,0.0025,0.0,0.0,-0.0013,0.8444,-0.0227,0.0,-0.0169,-0.0237,0.0006,0.0202,0.01,-2.1,-0.0012,0.0276,0.0,0.0121,0.0223,0.0002,0.0588,0.0,-0.0026,0.0,0.0,0.0,-0.5827,1.3,0.0001,0.0996,0.2673,-0.0008,0.009,0.0112,0.0005,0.0001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1145.0,1150.0,1125.0,1135.0,3522400,0.0224,-0.0112,-0.0039,0.0393,0.0002,0.038,0.229,-0.0227,-0.0102,1.2,0.2631,-0.057,-0.0228,0.0147,-0.0008,0.0451,0.1042,-1.8,0.0001,-0.3156,-0.0005,0.1005,0.0023,0.0165,0.3722,0.0092,0.0001,0.0011,-0.0573,-0.0002,-0.6098,0.4475,0.0344,0.0114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1150.0,1155.0,1140.0,1150.0,1938400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1140.0,1150.0,1135.0,1150.0,6877700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1145.0,1150.0,1135.0,1140.0,2003900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1140.0,1160.0,1140.0,1145.0,3859700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1115.0,1145.0,1115.0,1140.0,3819400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
