Date,Close,High,Low,Open,Volume,EP,RO,PD,OD,AZ,QA,SQ,YP,XC,CC,XL,IF,NI
2026-07-13,1350.0,1355.0,1350.0,1355.0,1200,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0012,0.0015,0.0,0.0
2026-07-14,1350.0,1350.0,1350.0,1350.0,0,,,,,,,,,,,,,
2026-07-15,1315.0,1340.0,1305.0,1340.0,5600,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0001,-0.0004,0.0045,-0.0036,0.0,-0.0007
2026-07-16,1315.0,1315.0,1315.0,1315.0,700,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,-0.0004,-0.0003,0.0
2026-07-17,1330.0,1370.0,1255.0,1325.0,8600,0.0001,-0.0023,0.0,0.0001,-0.0,0.0,-0.0003,0.0001,-0.0003,0.0014,0.001,0.0,0.0
2026-07-20,1220.0,1660.0,1220.0,1325.0,214800,,,,,,,,,,,,,
2026-07-21,1250.0,1400.0,1210.0,1255.0,131700,,,,,,,,,,,,,
2026-07-22,1245.0,1255.0,1225.0,1255.0,11200,,,,,,,,,,,,,
2026-07-23,1255.0,1260.0,1220.0,1240.0,30300,,,,,,,,,,,,,
2026-07-24,1285.0,1550.0,1270.0,1395.0,150800,,,,,,,,,,,,,
