Date,Close,High,Low,Open,Volume,NI,XA,OD,ID,YB,DR,SQ,YP,XC,LG,KK,XL,DH,FZ,AZ,MG,PC,CP,BK,RO,AK,AT,ZP,TP,EP,IU,PD,BQ,AG,KI,BR,AR,GR,CC,IH,AD,HD,AI,CD,PG,HP,IF,MU,RF,QA,YU,AO,ES,YJ,OK,PO
2026-07-13,314.0,316.0,290.0,290.0,46704300,0.025,0.0043,-0.3005,-0.0008,0.1566,0.0035,0.0181,0.3154,-0.0715,-0.1801,-0.0939,1.6,-0.0022,-0.095,0.2159,0.0177,-0.001,-3.4,0.011,0.001,0.3321,0.0037,-0.0011,-0.0914,0.0863,0.0007,0.2071,-0.0668,0.0012,-0.0014,-0.0055,-0.0004,0.1531,0.9953,-0.001,0.0,-0.0027,0.0061,0.0,0.0062,-0.0044,-0.0015,0.0,0.1846,-0.1472,0.0771,0.0,-0.0185,0.0302,-0.0019,0.0111
2026-07-14,336.0,340.0,302.0,316.0,69916900,-0.0431,-0.0159,-0.0911,-0.0118,-0.0287,0.0,-0.033,-0.3445,-0.0808,-0.0918,-0.0355,-1.8,0.0,0.0,-0.0487,0.0042,-0.0201,3.1,0.0501,0.0,-0.0366,-0.0298,0.0033,0.0,-0.1268,-0.045,-0.0103,-0.0335,0.0167,0.0,0.4068,-0.0091,-0.2883,-0.1952,-0.0102,0.0,0.0,0.0434,0.0,0.0,-0.021,0.0,0.0,0.0,0.0023,-0.0987,0.0005,0.0,0.0,0.0,0.0
2026-07-15,328.0,338.0,322.0,336.0,16022900,0.0552,0.0047,-0.144,-0.0003,0.0406,0.0297,0.0288,0.0772,0.0115,0.021,0.0305,0.0367,0.0929,0.0,-0.0159,0.0207,0.0,-0.4468,-0.0643,0.0049,-0.1489,0.0082,-0.0033,0.0007,0.0685,0.0321,0.0125,-0.0047,-0.005,0.0,0.1565,0.0,0.112,-0.1062,0.0011,0.0,0.0,0.0985,0.0018,0.0065,-0.0099,-0.0033,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,326.0,340.0,316.0,326.0,42240900,0.0088,0.0009,-0.0733,0.0023,-0.0433,-0.0289,-0.0084,0.191,0.0792,-0.0044,-0.0303,-0.6683,-0.0338,0.004,0.0093,-0.0184,0.0129,-1.0,0.1318,0.0001,0.3168,0.022,0.0392,0.0,0.1283,-0.0203,0.0222,-0.0014,-0.0033,0.0,-0.6147,0.0022,0.2456,1.3,0.0062,-0.0016,-400.0,-0.0008,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,330.0,332.0,320.0,328.0,13480400,-0.0187,-0.002,-0.0179,-0.0077,-0.0444,0.0017,0.0015,-0.0661,-0.016,0.0048,-0.0282,-0.1719,0.001,-0.0001,0.0048,0.0013,-0.0048,0.2851,-0.0011,-0.0001,-0.203,-0.0005,-0.0002,0.1333,0.0399,-0.0023,0.0087,-0.0007,0.0002,0.0001,-0.0034,-0.0001,0.0098,0.0969,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,314.0,346.0,314.0,330.0,70541600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,364.0,366.0,320.0,320.0,128300700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,340.0,372.0,316.0,366.0,70701800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,326.0,344.0,314.0,338.0,47490200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,300.0,356.0,282.0,330.0,125002300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
