Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,DX,HP,XC,LG,KK,XL,DH,AZ,MG,PC,CP,BK,RO,RB,YU,AK,AT,ZP,TP,CD,EP,PD,BQ,AG,KI,GR,HD,AO,FZ,FS,PF,FO,RS,ZR,IF,AI,RG,AR,IH,ES
2026-07-13,131.0,131.0,121.0,124.0,16288100,-0.0203,0.0016,-0.3043,0.0011,-0.0016,-0.0002,-0.0414,0.0354,-0.0916,0.0024,0.0131,0.0396,-0.0004,-0.0036,-0.0286,-0.0369,0.0006,0.0051,-0.0,0.0164,0.03,-0.001,0.0,-0.0053,0.2213,-0.0152,-0.024,0.0832,-0.0001,0.1101,-0.0221,0.0135,0.0,-0.0023,0.028,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,-0.0003,0.0,0.0,-0.0
2026-07-14,139.0,140.0,128.0,132.0,66596200,-0.4013,-0.0033,0.1794,0.01,-0.0989,0.0019,0.0095,0.0185,-0.1351,-0.0238,-0.0041,-0.2881,-0.0044,0.0209,0.1097,-0.0266,0.0574,-0.0041,0.0,0.0193,0.0342,0.0,0.0,0.0193,0.1241,-0.0069,-0.0786,-0.0176,0.0,0.0121,-0.196,0.3184,-0.0011,0.3268,0.0448,-0.0003,0.0,0.0005,-0.0137,0.0,0.0,0.0,0.0,-0.0033,0.0014,-0.0014,0.0,0.0001,0.0
2026-07-15,134.0,139.0,132.0,139.0,19546300,-0.0365,0.0451,-0.031,0.0062,-0.0119,0.0017,0.0312,-0.043,0.0454,0.0081,-0.0072,0.1504,0.0106,0.0038,0.0378,0.0235,0.0071,0.0019,0.0,-0.0426,0.0019,0.0008,0.0,0.0014,-0.1883,0.0082,-0.011,-0.0825,0.0,0.0105,-0.0042,0.0011,0.0001,0.0,0.0297,0.0216,0.0006,0.0,0.0,0.0,0.0013,0.0,0.0087,-0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-16,139.0,142.0,131.0,135.0,25171100,-0.0256,-0.0185,0.3882,-0.0151,0.0086,0.0,-0.0121,-0.0509,0.0197,-0.0085,-0.0001,-0.1845,0.0007,0.0267,-0.2563,-0.0347,0.0374,-0.003,0.0,0.0281,0.0218,-0.0128,0.0,-0.0,0.1282,-0.0166,0.0581,0.0024,0.0,0.0458,-0.0522,-0.0165,-0.0001,-0.0016,-0.0321,-0.022,0.0,0.0152,-0.014,0.007,-0.0014,-0.0004,-0.009,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,141.0,143.0,136.0,139.0,22160900,0.0032,0.0003,-0.4632,0.007,0.0047,0.0021,-0.0043,0.0202,0.1431,-0.002,0.0076,-0.0133,0.0002,0.0853,0.5169,0.003,-0.0068,0.0716,0.0028,-0.0348,-0.1652,-0.0035,0.0001,-0.0014,-0.1495,0.0039,-0.071,0.0085,0.0001,-0.0617,-0.0355,0.0934,0.0,0.0005,0.0137,0.0097,0.0055,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,145.0,157.0,141.0,141.0,94905400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,153.0,153.0,144.0,145.0,58077700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,159.0,165.0,152.0,155.0,162675400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,162.0,168.0,157.0,162.0,96193800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,152.0,162.0,146.0,162.0,63284200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
