Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,AT,AK,EP,YP,DH,CC,YB,BQ,NI,HD,QA,SQ,YJ,KK,CP,ZP,KI,OD,BK,DX,AI,XL,MG,TP,GR,PD,DR,LS,ZR,FZ,IU,AO,IF,HP,RO,AG,AR,CD
2026-07-13,144.0,144.0,138.0,144.0,4758100,-0.0025,0.0056,-0.0051,0.0,-0.0007,0.0003,-0.0124,0.0002,0.0294,-0.0033,-0.0599,0.0025,-0.0013,-0.1454,-0.0011,0.0,0.0537,0.0,0.0227,0.0027,0.007,0.0004,0.0054,0.0101,-0.0048,0.0,0.0398,0.0,0.0179,0.013,0.016,0.0018,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0001,0.0004,0.0006,0.007,0.0002
2026-07-14,146.0,148.0,141.0,144.0,5797700,-0.0044,-0.0197,-0.0013,0.0003,0.0105,-0.0004,0.007,0.0066,-0.0705,-0.0102,0.184,-0.001,0.0001,0.01,0.001,0.0,0.0002,0.0015,-0.0019,-0.0075,0.0151,-0.0002,0.0154,0.0884,-0.0288,0.0,-0.1445,-0.0001,0.0074,-0.0035,-0.0607,0.0036,0.0,-0.0015,0.0,0.0048,0.0,0.0,0.0,0.0002,0.0,0.0,0.0
2026-07-15,147.0,150.0,144.0,147.0,5528800,-0.0412,0.0049,-0.0009,0.0032,-0.006,0.0001,0.0147,0.0,-0.0461,0.0001,0.0696,0.001,-0.0003,0.0066,-0.0,0.0038,-0.0391,0.0001,-0.0101,-0.0003,-0.027,0.0,-0.0615,0.0034,0.0075,0.0,-0.0762,-0.012,0.0005,-0.0058,0.0287,0.2091,-0.015,-0.0088,0.0,-0.0031,0.0,-0.0002,0.0001,0.0,0.0,0.0,0.0
2026-07-16,150.0,151.0,147.0,148.0,5467000,0.0222,-0.0017,-0.0009,0.0007,-0.0162,-0.0038,0.0443,0.0063,-0.0165,0.0033,-0.071,0.0086,0.0001,-0.0383,-0.0009,0.0,-0.0229,0.0,-0.0129,-0.0001,-0.0087,0.0,0.0069,0.003,-0.0005,0.0038,0.0629,0.0215,-0.0042,-0.0162,0.0502,0.0129,-0.03,-0.0015,0.0,-0.0018,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,150.0,152.0,148.0,151.0,3946700,-0.0115,-0.0007,0.0093,0.0009,-0.0008,0.0,0.0224,-0.0224,0.0142,-0.0002,-0.02,-0.0015,0.0011,-0.0047,-0.0001,-0.0038,0.0617,-0.0015,0.0163,0.0068,-0.018,0.0001,0.0039,0.0278,0.006,-0.0037,-0.0397,-0.0083,0.0088,-0.0298,-0.0265,0.0139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,153.0,154.0,150.0,150.0,4494200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,157.0,160.0,152.0,153.0,12978500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,155.0,160.0,154.0,158.0,5989900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,158.0,163.0,154.0,155.0,17061300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,152.0,158.0,150.0,158.0,7399700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
