Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,XA,AZ,PC,AT,PI,EP,YP,CC,SF,BQ,NI,IU,TF,QA,SQ,YJ,EL,RO,KK,ZP,OD,XL,IN,SH,FZ,RG,PG,GR,DU,SA,PD,DR,CP,BK,MG,YO,IF
2026-07-13,103.0,105.0,101.0,102.0,7795400,0.0003,0.0003,-0.0128,-0.0035,-0.0075,-0.0291,-0.0211,0.0,0.0113,-0.001,-0.003,-0.0308,0.0,-0.0013,-0.0,-0.0296,0.0,0.0,0.0,0.0,-0.0035,0.0,-0.0,-0.0045,-0.0001,0.0082,0.0244,0.0001,0.0001,0.0292,-0.001,0.0,0.0255,0.028,0.0129,0.0,0.0,0.0084,0.0,0.0,0.0002
2026-07-14,101.0,104.0,100.0,103.0,7615100,-0.0089,-0.003,0.0036,-0.0291,-0.0131,0.0031,0.0232,0.0,0.0027,0.0018,0.0004,-0.0614,-0.0134,-0.0153,0.0002,0.0003,0.0102,0.0004,-0.001,0.0,0.0,0.0339,0.0061,-0.0118,0.0003,0.0089,0.0146,0.0051,0.0071,0.0035,0.017,0.0035,0.0025,-0.0095,0.0008,0.0,0.0152,0.0022,0.0001,0.0,0.0
2026-07-15,99.0,102.0,98.0,101.0,7227600,0.008,-0.0018,-0.0084,0.0006,-0.0014,0.0164,0.012,0.0,-0.0103,-0.0128,0.0057,-0.0042,0.0018,0.0019,-0.0048,-0.0042,-0.01,0.0004,0.0198,0.0,0.0154,-0.0044,0.0129,0.0011,0.0018,0.0173,-0.0116,-0.005,-0.007,-0.0226,-0.0074,0.0245,-0.0078,-0.0094,-0.0004,0.0005,-0.0042,0.0,0.0,-0.0026,0.0001
2026-07-16,102.0,102.0,99.0,99.0,8073200,-0.0015,0.0087,0.0056,0.0226,0.0099,0.0319,0.0147,0.0,-0.0046,0.0,0.0028,-0.007,0.0139,0.0012,0.0,-0.0021,-0.0001,0.0,-0.0202,0.0,-0.0079,-0.0164,-0.0157,0.0158,0.0001,-0.0163,-0.0135,-0.0001,0.0,-0.009,-0.0088,0.002,-0.0032,-0.0021,-0.0036,0.0143,-0.0126,0.0016,-0.0001,0.0,0.0
2026-07-17,101.0,104.0,101.0,102.0,5679500,-0.0021,-0.0034,0.0237,-0.0031,0.0113,-0.0166,-0.0256,-0.0,-0.0015,-0.0002,-0.0018,0.0239,-0.0118,0.0109,0.0,0.0148,0.003,-0.0009,-0.002,0.003,-0.0015,-0.0021,-0.0031,0.0033,0.0012,-0.0078,0.0014,-0.0,-0.0,0.0054,-0.0013,-0.0056,0.0003,0.0031,-0.0001,-0.015,0.0,0.0,0.0,0.0,0.0
2026-07-20,103.0,103.0,101.0,101.0,6546900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,105.0,105.0,102.0,103.0,8774100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,104.0,109.0,104.0,106.0,7550200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,105.0,114.0,102.0,114.0,12954700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,101.0,105.0,100.0,105.0,7154700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
