Date,Close,High,Low,Open,Volume,QA,SQ,YJ,XC,LG,XA,AZ,KK,CP,PC,AT,PI,OD,AK,EP,RB,KI,DH,XL,CC,FZ,YP,MG,SF,YB,NI,BQ,MU,IF,GR,PD,HD,RO,DR,YU,ZP,BK,DX,AI,AG,AF,PF,TP
2026-07-13,52.0,54.0,51.0,52.0,17179300,0.0,0.001,0.0,-0.0448,0.0,0.0244,0.0519,0.0007,-0.0081,0.0,-0.0843,-0.0011,-0.0132,0.029,0.003,0.1438,0.0,-0.0002,-0.0797,0.0796,-0.0443,-0.0707,-0.1067,0.0026,-0.008,0.0002,0.0092,0.0,-0.0104,0.0031,0.0758,0.0015,0.0,0.0001,0.0,0.0,0.0,-0.0031,0.0,0.0003,0.0483,0.0,0.0
2026-07-14,53.0,55.0,52.0,53.0,17615100,-0.0078,0.0003,0.0,-0.0022,0.0005,-0.0106,-0.0372,0.0053,0.0049,0.0,-0.0002,0.0025,-0.0052,0.0235,-0.002,-0.1519,-0.0,-0.0054,0.1133,0.0194,0.0,-0.0457,0.0703,-0.0004,0.0026,0.0134,-0.0094,-0.0014,0.0001,0.0063,0.0082,-0.0003,-0.0001,-0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0011,0.0011
2026-07-15,53.0,54.0,52.0,53.0,13990500,0.005,-0.0011,0.0,0.0134,0.0,0.0151,0.0056,0.0571,-0.0022,0.0,-0.0,0.0051,-0.1108,0.0013,-0.0002,-0.0,0.0,100.0,-0.044,0.0022,0.0,-0.014,-0.0663,-0.0,0.0,0.0044,0.0,0.0,0.0,-0.0071,0.0038,0.0003,0.0,0.1325,0.0,0.0,0.0,0.0,0.0,-0.0003,0.0,0.0,0.0
2026-07-16,54.0,55.0,52.0,53.0,18507100,-0.0142,-0.064,0.0,0.0199,-0.0005,-0.0159,-0.2085,0.0222,0.1865,-0.0,0.0005,-0.0039,-0.0252,0.0177,-0.0034,-0.0055,-0.0001,0.0003,-0.0414,0.0468,0.0,0.0346,0.0214,0.0,-0.0027,-0.0137,0.0007,0.0,0.0,0.0,-0.0349,0.0032,-0.0178,0.107,-100.0,-0.0382,0.0073,0.0003,0.0002,0.0001,0.0212,0.0,0.0
2026-07-17,54.0,55.0,53.0,54.0,14241300,200.0,0.0003,0.0108,-0.0003,0.0,0.0031,-0.0023,0.0389,0.0731,0.0,0.0002,0.001,0.0016,0.0013,0.0002,0.0054,-0.0,0.0,-0.1565,0.0517,0.0016,-0.0637,-0.0133,0.0013,0.004,0.0142,0.003,0.0009,0.0,0.0044,-0.0346,-0.0008,-0.0009,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,53.0,54.0,52.0,54.0,17717600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,54.0,57.0,53.0,53.0,48771500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,55.0,57.0,54.0,54.0,31200100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,55.0,56.0,54.0,55.0,19710800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,54.0,55.0,53.0,55.0,13664300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
