Date,Close,High,Low,Open,Volume,XC,SQ,CP,OD,BK,XL,YP,DH,CC,MG,YB,HD,NI,BQ,PG,GR,CD,PD,DR,YU,LG,XA,KK,PC,AT,ID,IF,AO,RO,AZ,ZP,EP,FS,LS,TP
2026-07-13,67.0,71.0,66.0,69.0,2342000,0.0291,0.0,-0.0021,0.0043,-0.0075,-0.0361,0.0143,0.0052,0.0028,-0.0,-0.0002,0.0,-0.0032,-0.0097,0.0,0.0,0.0014,0.0,0.0,0.0,0.0007,0.009,0.0027,0.0,0.0,0.0,-0.003,0.0,0.0,0.0,-0.0141,0.0,0.0,0.0068,-0.0003
2026-07-14,69.0,71.0,67.0,68.0,3349600,0.0032,0.0,-0.031,0.0037,-0.0048,0.0179,0.0024,-0.0048,0.0428,0.0,0.001,0.0,-0.0009,0.0041,0.0,-0.0004,0.0,0.0137,0.0,0.0,0.0,-0.0141,0.0071,0.0,0.0,0.0,-0.0019,-0.0022,0.0003,0.0,-0.0325,-0.0002,-0.0033,0.0,0.0
2026-07-15,68.0,73.0,68.0,73.0,1735700,0.0141,0.0,-0.0137,0.0001,-0.008,0.0677,-0.0379,0.0046,-0.0264,-0.001,0.002,0.0,-0.0008,0.0003,0.0,0.0,0.0,-0.0,0.0003,0.0049,0.0,-0.0052,-600.0,0.0,0.0,0.0,0.0,0.0,0.0026,-0.0035,0.0,0.0,0.0,0.0,0.0
2026-07-16,68.0,70.0,63.0,68.0,7377700,0.0197,0.0482,-0.2508,0.0005,-0.0089,-0.0102,0.0061,0.0007,0.278,-0.0001,0.0,-0.0015,-0.0,0.0006,0.0065,0.0,0.0,-0.0111,-0.0003,-0.067,0.0007,0.0041,0.0027,0.0013,0.0002,-0.0068,-0.0024,-0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,68.0,69.0,67.0,69.0,2613100,0.0123,-0.0009,-0.0428,0.0,-0.0052,0.0205,0.0135,-0.001,-0.0,0.0428,-0.0002,-0.0068,0.0043,-0.0,-0.0068,-0.0329,0.0013,0.0017,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,69.0,72.0,66.0,67.0,9165800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,72.0,73.0,68.0,70.0,17021800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,70.0,74.0,69.0,71.0,10609000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,70.0,72.0,64.0,69.0,9304900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,69.0,72.0,68.0,70.0,3547400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
