Date,Close,High,Low,Open,Volume,XC,XL,AZ,NI,CC,PD,AG,KK,DR,YP,RO
2026-07-13,1130.0,1130.0,1130.0,1130.0,13900,0.0005,0.0063,0.0021,0.0,-0.0058,0.0,0.0,0.0,0.0,-0.0031,-0.0001
2026-07-14,1240.0,1240.0,1130.0,1130.0,22700,-0.0005,0.0175,0.0051,0.0,-0.0108,0.0,0.0,0.0,0.0,-0.0113,0.0
2026-07-15,1240.0,1315.0,1240.0,1315.0,13100,0.0024,0.0016,0.0014,0.0,-0.0033,0.0,-0.0033,0.0006,0.0006,0.0,0.0
2026-07-16,1240.0,1240.0,1240.0,1240.0,3500,-0.0001,-0.0001,0.0043,0.0,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1140.0,1200.0,1140.0,1200.0,11800,0.0022,-0.0098,0.0006,0.006,-0.0001,0.0013,0.0,0.0,0.0,0.0,0.0
2026-07-20,1100.0,1140.0,1100.0,1140.0,15600,,,,,,,,,,,
2026-07-21,1085.0,1085.0,1085.0,1085.0,33000,,,,,,,,,,,
2026-07-22,1190.0,1190.0,1085.0,1085.0,11500,,,,,,,,,,,
2026-07-23,1200.0,1270.0,1190.0,1190.0,5800,,,,,,,,,,,
2026-07-24,1200.0,1200.0,1200.0,1200.0,23000,,,,,,,,,,,
