Date,Close,High,Low,Open,Volume,XC,SQ,RO,QA,LG,AZ,KK,CP,ZP,AT,KI,AK,EP,OD,XL,YP,DH,CC,MG,TP,YB,NI,IF,BQ,GR,HP,PD,YJ,XA,AI,FZ,GI,ID,DR,YU,RB,PG,AO,HD,PC,DX,BK,SH
2026-07-13,79.0,85.0,77.0,78.0,25919300,0.0262,-0.0031,-0.0,0.0001,0.0001,0.0011,-0.0359,0.0096,0.0,-0.002,0.0001,0.0005,0.0238,0.0031,-0.0404,-0.0205,-0.0017,0.016,0.0589,-0.0,0.0,-0.0165,0.0,-0.0087,0.0003,0.0,-0.0296,0.0001,0.0082,0.0004,0.0,0.0,0.0,-0.0,0.0,0.0,0.0398,-0.0005,0.0,0.0,0.0,-0.0295,0.0
2026-07-14,85.0,92.0,80.0,80.0,125463700,0.0045,0.0101,0.0009,-0.0001,-0.0011,-0.0103,-0.0353,-0.0095,0.0,-0.0006,-0.0006,0.0003,-0.0303,0.0694,0.2023,-0.1253,0.0972,0.0448,0.0278,0.0046,-0.0619,0.0224,0.0004,-0.081,-0.0339,-0.0028,0.003,0.0,0.0105,-0.0005,0.0002,0.0,-0.0003,-0.008,0.0001,0.0,-0.0616,-0.0015,-0.0101,0.0,0.0,-0.0146,-0.0092
2026-07-15,84.0,90.0,83.0,85.0,22674000,0.0069,-0.002,-0.0,0.0018,0.0028,0.0001,0.0209,-0.0066,0.0174,0.002,-0.0195,0.0,-0.0008,-0.0079,-0.0782,0.0856,-0.0684,-0.0205,0.0029,0.0025,0.0405,0.0107,0.0,0.0257,0.0035,0.0189,-0.0445,0.0,-0.0116,0.0,0.0,0.0,-0.0,0.0048,0.0008,0.0001,-0.0267,0.0342,0.0047,0.0,0.0,0.0,0.0
2026-07-16,86.0,89.0,83.0,84.0,31708400,0.0118,0.0005,0.0003,-0.0008,0.0001,-0.0002,-0.015,0.0151,0.0,0.0049,-0.0,0.0028,0.0055,-0.0219,0.1493,-0.0794,0.0009,0.0114,-0.0031,0.0007,-0.0351,-0.036,-0.0,-0.0078,-0.0037,0.0,-0.014,0.0,-0.0005,0.0174,0.0003,0.0001,-0.0001,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,85.0,87.0,82.0,86.0,5793700,0.0112,0.0002,0.0,0.0,0.0008,-0.0005,-0.0214,-0.0022,-0.0009,0.0,0.0086,0.0116,0.0186,-0.0079,-0.066,0.03,0.0,0.012,-0.0003,0.0,-0.0085,0.003,0.0001,-0.0011,-0.0002,0.0026,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,85.0,86.0,84.0,86.0,4832500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,86.0,87.0,85.0,85.0,6669400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,89.0,93.0,85.0,86.0,30395700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,86.0,90.0,85.0,89.0,13608400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,82.0,87.0,79.0,87.0,7554200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
