Date,Close,High,Low,Open,Volume,XC,SQ,YJ,LG,XA,MI,KK,AZ,CP,ZP,AT,KI,AK,EP,OD,XL,YP,DH,CC,MG,YB,BQ,MU,NI,AO,GR,IN,HP,HD,PD,DR,YU,GI,RO,TP,AI,IF,DX
2026-07-13,138.0,140.0,138.0,139.0,812100,-0.0049,-0.0058,0.0,0.0,0.0,0.0,0.0016,0.0,-0.0007,0.0,0.0,0.0,0.0003,-0.0351,0.0282,-0.0169,0.0101,-0.007,-0.0119,0.0,0.0028,0.0,0.0,0.0305,0.0,0.002,0.0,0.0,-0.0002,0.0063,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,142.0,146.0,139.0,139.0,3036200,-0.0103,-0.0359,-0.0001,-0.0,-0.0,0.0085,0.0067,0.0,0.0119,-0.0014,0.0,0.0001,0.0003,-0.0082,0.001,-0.0048,0.0291,0.0138,0.0208,0.0005,0.0,0.0043,0.0,0.0012,0.0087,-0.0044,0.0,0.0,0.0001,-0.0449,-0.0013,0.0011,0.0,0.0,-0.0029,-0.0,0.0,0.0064
2026-07-15,146.0,147.0,141.0,141.0,3121300,0.0419,-0.0294,0.0,-0.002,-0.0009,0.0028,-0.0457,0.0168,0.0058,-0.0015,0.0,-0.0015,0.0,-0.0037,0.0,0.0453,-0.0291,-0.0003,-0.0433,0.0431,0.0,-0.0003,0.0,0.0291,0.0278,0.0054,0.0,0.0,0.0028,-0.0418,-0.0064,-0.0004,0.0,0.0,-0.0145,0.0002,-0.0004,0.0
2026-07-16,151.0,157.0,145.0,146.0,9623500,-0.0279,0.4055,-0.0002,-0.0056,-0.0001,-0.0061,0.0322,0.0186,0.0067,0.0099,-0.0003,0.0,0.0001,-0.0704,-0.048,0.0199,-0.3305,0.0025,-0.1065,-0.0294,0.001,-0.0016,0.0,0.1498,0.0028,-0.0283,0.0,0.001,-0.0001,0.007,0.0,-0.0011,-0.001,-0.0,0.0,0.0,0.0,0.0
2026-07-17,152.0,157.0,150.0,152.0,3935600,-0.0257,0.0288,0.0154,-0.0,-0.0003,-0.0031,-0.0354,-0.0,-0.0165,-0.0003,0.0,0.0015,0.0,0.0752,-0.0084,0.0423,0.0008,-0.0103,-0.1145,-0.0025,-0.0022,0.0154,0.0005,-0.0145,-0.0016,-0.0455,0.0616,0.001,-0.0076,0.0459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,155.0,158.0,154.0,155.0,2116900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,154.0,158.0,151.0,155.0,3091100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,150.0,156.0,148.0,156.0,2704700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,151.0,155.0,149.0,152.0,2664900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,147.0,150.0,143.0,149.0,2323400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
