Date,Close,High,Low,Open,Volume,XC,SQ,YU,LG,AZ,XA,MI,KZ,KK,CP,ZP,KI,AG,BK,BB,XL,YP,OD,EP,DH,SH,AK,MG,CC,TP,YB,RG,BQ,PG,RX,NI,IF,JB,AO,GR,PD,DR,PC,AT,PP,HD,QA,YJ,LS,AI,SS,FZ,ID,AR,BR,HP,CD,RO,GA,DX,RB,RS,IN,BS
2026-07-13,4740.0,4740.0,4600.0,4720.0,5186000,0.1354,-0.5851,-0.3611,6.6,0.1953,0.0,0.0,0.0,-0.7782,-0.6209,-0.5302,0.0,-1.5,-0.5872,-0.6569,-0.8586,0.1564,-0.2436,0.0339,-0.1443,-0.1185,-0.7776,0.0,1.6,-0.0428,-0.0465,0.0,-0.0256,0.0,0.0,0.1935,0.0222,0.0,0.2384,-0.1159,-0.1936,-0.2425,0.0,-0.0472,0.0,-0.1825,0.0009,-0.144,-0.1158,-0.0524,0.0,0.0,0.0,0.0,0.0,-0.2004,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.014
2026-07-14,4930.0,5100.0,4750.0,4750.0,17448000,-0.634,-2.9,-0.8841,7.4,2.2,-0.5214,-0.3744,-1.5,-0.4525,0.4503,-1.6,0.4895,-2.5,-3.1,2.3,-1.7,-1.3,-0.9357,-0.6596,-0.3201,0.0,8.3,0.0,-19.5,0.0,0.0104,0.0,0.0246,0.0,-0.146,19.5,-0.4231,0.0,-0.1078,0.0,0.4219,-0.1048,0.0,0.2351,0.0,0.3043,-0.1417,0.0018,-0.929,-0.8589,-0.25,0.0,-0.1168,0.0,0.0125,0.0133,0.0,0.0,0.0,0.2505,0.0492,0.0345,0.0021,0.0
2026-07-15,4930.0,4990.0,4840.0,4970.0,9149000,1.9,-0.2179,0.3518,0.6536,12.2,0.1512,0.0,0.0,0.1081,0.4156,-2.8,0.0152,-0.9216,-5.2,-3.7,2.4,-0.4716,-0.0974,0.1629,0.0,-0.0,-9.7,0.0,2.3,0.2332,0.0,0.0,0.0285,0.2916,0.0,0.4646,-0.3948,0.0,0.0,-0.2262,0.3379,1.3,0.0,0.0304,0.0,-0.1495,0.0,-0.0369,0.0501,0.0146,0.0,0.0196,0.0245,0.0,0.0,0.0,0.1617,0.0,0.0307,0.0152,0.0,0.0,0.0,0.0
2026-07-16,4960.0,5125.0,4880.0,4930.0,10728300,-0.3542,10.3,-0.1445,0.4103,-0.0746,0.0255,0.0025,-2.9,0.2167,0.4124,2.6,-0.9036,3.4,-5.4,1.5,0.0649,-0.591,-0.1723,-0.0641,0.9897,-0.1275,-7.1,0.9977,-6.5,0.7304,0.1637,0.0,0.07,0.0,-3.0,4.6,-0.0222,0.0,0.1522,-0.0229,-0.0354,0.4917,-0.0124,-0.1899,0.2386,-0.4955,0.0161,-0.0778,1.0,0.0323,-0.1488,-0.0196,-0.0251,0.0025,-0.0203,0.0,0.0099,-0.011,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4910.0,4950.0,4870.0,4950.0,9152000,-0.0231,1.7,0.8504,-0.0916,2.0,0.3768,0.1417,2.4,0.1355,0.2035,-9.7,0.6114,0.5241,2.7,0.4543,2.2,0.6876,0.4022,0.1848,0.1645,0.1223,-1.9,-0.8459,-1.7,0.1273,0.2428,-0.0025,0.6031,0.1461,-2.6,-1.7,-0.0583,-0.0023,-0.1473,0.2707,0.419,0.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4920.0,5000.0,4900.0,4900.0,9256800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4940.0,5050.0,4910.0,4950.0,11237700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,5000.0,5025.0,4920.0,4950.0,12866600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,5075.0,5275.0,5000.0,5000.0,25171600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4870.0,5025.0,4820.0,5025.0,22204100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
