Date,Close,High,Low,Open,Volume,XC,YU,XA,AZ,AT,AK,EP,YP,DH,CC,ES,YB,BQ,NI,HD,QA,SQ,RO,KK,LS,CP,ZP,ZR,BB,OD,AI,AG,XL,DX,KI,BK,MG,TP,IF,MU,AO,GR,BR,HP,PD,DR,LG,MI,PC,RB,TF,YJ,ID,AR,RG,CD,SS,FZ,IH,EL,FS
2026-07-13,2090.0,2090.0,1965.0,2020.0,8849400,0.1359,0.0586,-0.0972,-1.8,-0.031,2.5,0.0,-0.3036,-0.051,-1.9,0.0,-0.4022,-0.1912,-0.0822,0.0,0.0071,-0.2557,0.0,-0.4248,-0.0995,-0.3047,-0.7063,0.0,0.0,-0.0223,-0.2045,0.3335,-0.2511,0.0,0.0,0.5158,-0.1147,0.5174,3.6,0.0,0.2093,-0.03,0.0,-0.0164,-0.6687,-0.01,-0.1002,0.4035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054,0.0,0.0,-0.1209,-0.1045,0.0439
2026-07-14,2230.0,2350.0,2080.0,2110.0,28540100,-1.6,1.6,0.1892,1.2,0.0254,12.2,-0.6429,-3.7,-0.17,-3.2,-0.0471,0.1234,-0.0865,2.9,0.0,0.0,-0.274,-0.0315,-0.262,-0.753,0.0582,0.3314,0.0458,0.0,0.9179,-1.0,-0.0573,-1.5,-2.0,0.0,0.0695,0.5583,-0.6627,1.1,0.0,0.2831,-0.1778,0.0,0.0258,-1.4,-0.5013,-3.3,0.6725,0.0,0.0,0.0,-0.3494,-0.0224,0.0,0.0,-0.1373,-0.2947,-0.0668,0.0,0.0,0.0
2026-07-15,2240.0,2310.0,2200.0,2260.0,11924000,0.404,-0.0584,-0.4108,-0.0886,0.0228,-6.9,0.3208,-0.6474,0.0246,-0.7607,0.0,-0.0612,-0.0446,0.2733,-0.0002,0.0084,-0.0105,0.0056,0.3124,-0.008,0.1446,2.0,-0.0453,0.0,0.2757,0.006,0.0015,1.1,0.0068,-0.0117,-0.7685,0.0127,-0.176,5.7,0.0009,-0.2206,-0.1455,0.0,0.0293,0.3042,0.1226,0.1149,-1.1,0.0,0.0,0.0,-0.0187,0.0223,0.0022,0.0,0.2825,0.0,0.0,0.0,0.0,0.0
2026-07-16,2500.0,2540.0,2250.0,2270.0,47823300,-0.8279,-0.2653,0.2244,-7.3,0.0341,-2.7,-0.2773,6.3,-1.2,-3.8,-0.0074,-0.3049,0.0817,-6.4,0.0932,0.0052,-0.141,-0.0353,0.4891,-0.4913,0.2102,0.0951,0.018,9.3,-3.9,0.8821,-0.1293,5.6,0.0101,0.0362,-0.5802,-0.3461,-0.6423,-0.1894,0.0,-0.5597,0.3842,0.0598,0.0036,3.7,0.0872,2.4,0.0276,-0.0126,0.0595,0.0087,-0.0496,-0.0719,-0.0072,-0.0705,0.2748,0.0,0.0,0.0,0.0,0.0
2026-07-17,2430.0,2520.0,2370.0,2500.0,19849600,2.1,-1.3,1.8,0.5245,-0.3084,-12.9,-0.0034,1.9,1.3,-6.2,-0.0484,-0.0188,0.4952,0.2588,-0.123,-0.0248,5.6,-0.0002,-0.2616,0.2357,0.2292,-2.2,0.0607,0.121,0.9559,0.3588,0.1399,4.4,0.0264,0.0169,-2.4,0.1856,1.0,-0.2888,-0.0007,0.503,0.642,-0.0598,0.0928,1.4,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2410.0,2450.0,2390.0,2430.0,11941600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,2530.0,2590.0,2420.0,2420.0,31372400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2550.0,2630.0,2500.0,2570.0,24893000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,2530.0,2720.0,2520.0,2550.0,40122700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,2470.0,2610.0,2410.0,2540.0,31910400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
