Date,Close,High,Low,Open,Volume,QA,XC,SQ,XA,AZ,KK,CP,ZP,AT,KI,OD,AI,EP,DX,YP,DH,XL,CC,MG,SF,TP,YB,NI,BQ,AO,PD,DR,PC,GR,YU,LG,IF,HP,RO,MU
2026-07-13,121.0,126.0,119.0,124.0,1744000,0.0,0.003,-0.0001,0.0,0.0072,0.0068,-0.0014,-0.0006,0.0059,0.0,-0.0127,0.0,0.006,0.0,0.0211,0.0,-0.0611,-0.0048,0.04,0.0,0.0,0.0001,-0.0064,-0.0001,0.0012,-0.0111,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0012,0.0059
2026-07-14,122.0,125.0,120.0,122.0,2982500,0.0,-0.0071,0.0023,0.0,0.0052,-0.01,0.0162,0.0,-0.0061,0.0,-0.0027,0.0,0.0131,0.0,0.0153,-0.0,-0.0623,0.0146,-0.0147,0.0,0.0,-0.0026,-0.0052,0.0217,0.0,-0.003,-0.0001,0.0,0.0032,0.0,0.0124,0.0,0.0,0.0024,0.0073
2026-07-15,124.0,137.0,121.0,123.0,14049400,-0.0005,-0.039,0.0375,0.0003,-0.0118,0.0123,0.0033,0.0,-0.043,-0.001,0.0089,0.0,-0.0231,0.0013,0.0794,0.0003,0.0416,0.002,-0.0549,0.0,0.0051,0.0,0.0047,-0.0017,0.0019,-0.018,0.0098,0.0,0.0,-0.0109,-0.0131,0.0,0.0129,-0.0043,0.0
2026-07-16,126.0,127.0,123.0,124.0,1750900,-0.0001,0.0253,-0.0305,0.0,0.0,0.0004,-0.0122,0.0,-0.0,0.0,-0.0037,0.0,0.0038,0.0,-0.0116,0.0002,0.0017,0.0058,0.0125,0.0062,0.0004,0.0,0.0015,-0.0209,0.0,-0.0027,0.0237,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,129.0,135.0,125.0,127.0,6196900,0.0004,-0.01,-0.0049,0.0004,0.0003,-0.0171,0.018,0.0013,-0.0001,0.0,-0.0056,0.0003,-0.0002,-0.0013,0.0029,0.0001,-0.1116,0.0372,-0.0042,-0.0066,-0.0086,-0.0006,0.0163,-0.0052,-0.0007,0.0056,0.0939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,134.0,135.0,130.0,132.0,2065900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,130.0,134.0,127.0,134.0,2910400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,134.0,142.0,128.0,131.0,21550200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,134.0,137.0,132.0,135.0,5956400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,131.0,135.0,130.0,135.0,1951300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
