Date,Close,High,Low,Open,Volume,XC,SQ,YJ,AZ,XA,CP,ZP,AT,XL,YP,MG,YB,RG,BQ,BR,DR,LG,OD,CC,NI,PG,YU,KK,AK,PD,AO,RO
2026-07-13,695.0,695.0,680.0,690.0,559500,-0.0003,-0.0139,0.0206,-0.029,0.0461,-0.0002,0.024,0.0241,-0.005,0.0282,0.0228,-0.0005,-0.0423,-0.0351,0.0465,-0.0001,0.0001,-0.0486,0.0,0.0,-0.034,0.0,0.0,0.0,0.0,-0.0,-0.0034
2026-07-14,700.0,700.0,655.0,695.0,1001100,0.2165,-0.0068,-0.023,0.0327,-0.0357,-0.0005,-0.19,-0.0161,-0.0186,-0.0981,-0.0387,-0.0456,-0.0306,0.0849,-0.0457,0.0516,0.0,0.0536,-0.0015,0.0001,0.0422,0.0695,0.0,0.0,0.0,0.0,0.0
2026-07-15,705.0,725.0,685.0,700.0,1553200,0.3852,-0.021,-0.0201,-0.0327,-0.0377,0.0026,-0.1504,-0.0186,-0.0496,-0.1413,-0.0189,-0.2277,0.0329,0.3578,0.0613,-0.0519,-0.0003,0.0,-0.0005,0.0,0.0,-0.0695,-0.0001,0.0005,-0.0001,0.0,0.0
2026-07-16,705.0,710.0,685.0,710.0,538700,-0.0004,-0.0417,0.0296,-0.0001,0.0436,-0.0,-0.0262,0.0197,0.025,0.0382,0.013,-0.0002,-0.0336,0.0581,-0.0626,0.0363,-0.0002,-0.0552,-0.0001,0.0001,-0.0434,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,695.0,710.0,690.0,700.0,519600,-0.0001,-0.0125,-0.0294,0.0337,-0.0007,0.0015,0.0276,-0.0196,-0.01,-0.0377,-0.0129,-0.0269,0.063,-0.0114,0.0715,-0.0361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,695.0,700.0,680.0,695.0,630800,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,710.0,710.0,685.0,700.0,560100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,710.0,750.0,690.0,750.0,568600,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,710.0,715.0,695.0,705.0,606100,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,705.0,710.0,695.0,705.0,511300,,,,,,,,,,,,,,,,,,,,,,,,,,,
