Date,Close,High,Low,Open,Volume,QA,XC,YJ,SQ,LG,AZ,KK,CP,KI,OD,EP,AI,XL,YP,DH,CC,MG,TP,YB,BQ,NI,AO,PD,RO,XA,LS,AT,ES,ID,RG,GR,HP,DR,ZP,AG,AD,FZ,IF,MI,BS,SA,TF,RF,CD
2026-07-13,75.0,79.0,70.0,72.0,6829800,0.0,0.0068,0.0,-0.001,0.0007,-0.0001,0.0134,0.0004,0.0,-0.0004,0.0093,-0.0004,-0.0385,-0.0273,0.0001,0.0176,0.0042,0.0,-0.0,0.0122,0.0022,0.0,0.0043,-0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,-0.0038,0.0,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,80.0,94.0,77.0,77.0,113606500,-0.0099,-0.0847,-0.0018,0.0293,-0.0225,0.0013,0.0524,-0.0012,-0.0003,0.0379,0.0294,-0.0001,0.057,-0.0797,-0.017,0.0685,0.0041,0.02,0.0012,-0.0151,-0.0616,0.0091,-0.0668,0.0048,0.0612,0.0,0.0007,-0.0009,0.0,0.0109,0.0228,0.0002,0.012,-0.0651,0.0029,0.0,0.0,0.0016,-0.0136,0.0006,0.0005,0.0007,0.0086,0.0023
2026-07-15,80.0,89.0,80.0,82.0,20999700,-0.0007,0.0036,0.0,-0.0001,-0.0001,0.0028,-0.0654,-0.0008,-0.0005,0.0306,-0.0449,-0.0005,0.1517,0.028,-0.0003,0.0026,-0.0072,-0.0218,0.0009,-0.0132,0.0276,0.0,0.0087,0.0019,-0.064,0.0,-0.0003,0.0,0.0,0.0,-0.0395,0.0,-0.0106,0.0144,-0.0028,-0.0001,0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,83.0,85.0,78.0,81.0,23660400,0.001,0.0334,0.0,-0.0026,-0.0001,-0.0027,-0.0044,0.0079,0.0,-0.018,0.0058,-0.0008,-0.0971,-0.0034,0.0016,-0.1046,-0.004,0.0005,-0.0002,0.0154,-0.0071,-0.0067,0.0929,-0.0008,0.0,0.1002,-0.0008,0.0008,0.0001,-0.0101,0.004,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,83.0,84.0,80.0,83.0,4766700,0.0,-0.0085,0.0002,-0.0001,-0.0,-0.0,-0.0018,-0.0,0.0003,0.0012,0.0113,-0.0001,0.0135,0.038,-500.0,0.0113,0.0023,-0.0016,-0.0002,-0.0008,-0.0001,0.0243,-0.0891,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,83.0,84.0,81.0,83.0,3316200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,82.0,84.0,81.0,83.0,4665700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,83.0,85.0,80.0,82.0,9214500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,82.0,84.0,81.0,83.0,3434400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,79.0,82.0,78.0,81.0,2251500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
