Date,Close,High,Low,Open,Volume,XC,YU,SQ,YJ,LG,XA,KK,KZ,CP,OD,AI,AG,XL,YP,DH,CC,MG,BQ,NI,GR,HD,PD,DR,RO,DX,CD,AK,EP,SF
2026-07-13,416.0,416.0,398.0,406.0,256500,0.0147,0.0,-0.0009,0.0368,0.0,0.0,0.0074,0.0,0.0,-0.0011,0.0,0.0,-0.0013,-0.0052,0.0,-0.0362,0.0,0.0,0.0006,0.0,-0.0003,-0.0003,0.0,0.0,0.0,0.0,-0.0082,-0.0065,0.0005
2026-07-14,420.0,424.0,412.0,418.0,228400,0.0101,0.004,-0.0008,0.0051,0.0,0.0,-0.0136,0.0,0.0,-0.0006,0.0,0.0,0.0012,0.0037,0.0,-0.0002,0.0125,0.0,-0.0015,-0.0004,0.0002,-0.007,-0.0063,0.0,0.0,0.0,-0.0039,-0.0031,0.0005
2026-07-15,424.0,428.0,416.0,416.0,75900,0.0018,0.0,-0.0126,0.0177,0.0,0.0,0.0021,0.0,-0.0021,0.0,0.0,0.0,-0.0041,0.0008,0.0,-0.0006,0.0,0.0,0.0011,0.0001,-0.0,-0.004,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0
2026-07-16,430.0,436.0,416.0,432.0,401300,-0.0115,0.0,0.0,0.0128,0.0,0.1501,0.0009,0.0,0.0,0.0,0.0,-0.0002,-0.0022,0.0006,0.0,-0.0,0.0,0.0,-0.002,0.0,-0.1451,-0.0006,0.0,-0.0032,0.0004,0.0,0.0,0.0,0.0
2026-07-17,454.0,456.0,430.0,430.0,660100,-0.0468,0.0044,-0.0017,-0.0148,-0.0002,-0.0056,0.0052,-0.0279,0.0,0.0004,-0.0018,-0.0,0.0841,0.0217,-0.0004,-0.0144,-0.0,0.005,-0.0044,-0.0004,0.0002,-0.0003,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,436.0,454.0,434.0,454.0,168300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,442.0,452.0,432.0,446.0,638200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,442.0,446.0,430.0,434.0,194700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,442.0,446.0,432.0,432.0,131600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,440.0,442.0,430.0,434.0,124600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
