Date,Close,High,Low,Open,Volume,XC,SQ,YU,LG,AZ,KK,BQ,LS,GR,AK,OD,XL,YP,DH,CC,PD,YB,IH,AT,GI,NI,ZP
2026-07-13,1135.0,1135.0,1120.0,1120.0,2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,-0.0001,-0.0024,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1140.0,1140.0,1115.0,1135.0,7100,0.0002,0.0,0.0,0.0,-0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0029,0.0,0.0008,0.002,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-15,1135.0,1150.0,1135.0,1140.0,46000,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,-0.0014,-0.0498,-0.0002,0.0,-0.0002,0.0,0.0,0.0,-0.0007,0.0001,0.0015
2026-07-16,1125.0,1170.0,1115.0,1135.0,106400,0.0023,-0.0002,0.0,0.0,0.0,0.0045,0.0001,0.0,0.108,0.0,-0.0003,-0.0097,-0.1022,-0.0003,0.0007,-0.0012,-0.0012,-0.0002,-0.0001,-0.0,0.0,0.0
2026-07-17,1150.0,1195.0,1145.0,1170.0,345900,0.0076,0.0006,0.0001,-0.0071,-0.0009,-0.0033,-0.0001,-0.0002,0.0056,0.0011,0.0008,0.0014,-0.0056,-0.0009,0.0018,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1165.0,1185.0,1150.0,1150.0,11100,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1190.0,1210.0,1160.0,1165.0,126200,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1200.0,1200.0,1170.0,1190.0,3700,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1205.0,1205.0,1155.0,1200.0,45800,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1190.0,1205.0,1165.0,1205.0,1100,,,,,,,,,,,,,,,,,,,,,,
