Date,Close,High,Low,Open,Volume,XC,YU,QA,SQ,LG,RO,AZ,XA,KK,CP,PC,ZP,AT,KI,OD,EP,XL,YP,DH,CC,MG,YB,HD,NI,BQ,GR,CD,PD,DR,GI,DX
2026-07-13,142.0,144.0,141.0,143.0,263400,-0.0035,0.0,0.0,0.0,-0.0008,0.0,0.0,0.0,0.0002,0.001,0.0,0.0004,0.0,0.0,-0.0001,0.0,0.008,0.001,0.0,-0.0028,0.0,0.0,0.0,0.0022,0.0006,0.0014,0.0,-0.0083,0.0031,0.0,-0.0024
2026-07-14,142.0,146.0,141.0,142.0,359900,0.0002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007,-0.0041,0.0,0.0001,0.0,0.0,-0.0002,0.0,0.0073,-0.0076,0.0,-0.0012,-0.0002,0.0,0.0,-0.0003,-0.0006,-0.0007,0.0,0.0023,0.0048,0.0,0.0
2026-07-15,144.0,145.0,143.0,145.0,306300,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0036,0.004,0.0,-0.0007,-0.0,0.0001,0.0,0.0,-0.014,-0.0024,0.0,-0.0035,-0.0007,-0.0022,0.0,-0.0015,0.0007,0.0,0.0,0.0255,-0.0041,-0.0,0.0
2026-07-16,145.0,146.0,143.0,146.0,332700,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034,-0.0007,0.0,-0.0001,0.0,-0.0,0.0001,0.0,-0.0039,0.0105,0.0,-0.0037,0.0,0.0,0.0,-0.0001,-0.0001,0.0,0.0,0.0013,-0.0061,0.0,0.0
2026-07-17,149.0,166.0,144.0,146.0,14398200,0.0034,0.0004,0.0001,-0.0057,-0.0,-0.0001,0.0016,-0.0018,0.0057,-0.0096,-0.0,-0.0044,-0.0004,-0.0004,0.0152,0.0009,0.0597,0.0075,-0.0216,-0.049,0.0003,-0.0002,-0.0007,0.0172,-0.0393,-0.0139,-0.0,0.0173,0.0175,0.0,0.0
2026-07-20,147.0,152.0,146.0,149.0,810800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,147.0,150.0,147.0,149.0,695100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,148.0,150.0,144.0,148.0,1375200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,149.0,152.0,146.0,148.0,1199600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,147.0,159.0,145.0,149.0,4276200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
