Date,Close,High,Low,Open,Volume,QA,XC,SQ,EP,LG,XA,KK,NI,PC,AT,KI,OD,GR,PD,XL,YP,CC,RO,YU,AZ,CP,AD,AG,DH,MG,BQ,CD,DR,YJ,YO,IF
2026-07-13,186.0,190.0,182.0,185.0,630300,0.0,0.0214,0.0,0.0,-0.0003,0.0,0.0,0.0361,-0.0,-0.0222,0.0,-0.0001,0.0413,0.0007,-0.0125,-0.0023,-0.0551,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0006,0.0,-0.0073,0.0,0.0,-0.0001
2026-07-14,182.0,185.0,174.0,174.0,599400,0.0,-0.0174,0.0009,0.0001,0.0002,0.0,-0.0,0.0075,0.0,0.0018,0.0,0.008,0.0,0.0056,0.0257,0.002,-0.0342,300.0,0.0,0.0,-0.0001,0.0,-0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001
2026-07-15,191.0,228.0,179.0,182.0,5858400,0.0001,-0.0135,0.0005,-0.0002,0.0079,0.0003,-0.0009,-0.0253,0.0,0.0031,0.0,0.0871,-0.003,0.0003,-0.034,-0.0021,-0.0073,0.0003,0.0,-0.0002,-0.007,0.0,0.0063,-0.001,-0.0007,-0.01,0.0,0.0002,-0.0008,-0.0004,0.0002
2026-07-16,210.0,218.0,196.0,197.0,2759800,-0.0028,0.0068,0.0116,-0.0,-0.0021,-0.0,-0.034,-0.0425,0.0,-0.0082,0.0001,0.0595,-0.0143,-0.0115,0.0431,0.0024,0.0029,0.0061,0.0001,-400.0,0.0,0.0,-0.002,-0.0156,-0.0001,-0.0,0.001,-0.0002,0.0,0.0,0.0
2026-07-17,204.0,214.0,200.0,214.0,628200,0.0002,-0.0037,-0.0081,-0.0009,-0.0,0.0001,0.0078,-0.0005,0.0,0.0003,-0.0,0.0256,0.0081,-0.0024,0.0036,0.0007,-0.0305,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,197.0,206.0,196.0,204.0,3751400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,204.0,218.0,200.0,202.0,1184100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,202.0,210.0,190.0,210.0,715300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,200.0,206.0,197.0,202.0,404200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,198.0,202.0,196.0,200.0,289400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
