Date,Close,High,Low,Open,Volume,XC,YB,NI,KI,GR,XL,YP,DH,CC,PD,RO,CP,OD,EP,KK,XA,BQ,PC,AG,DX
2026-07-13,282.0,282.0,256.0,282.0,199600,0.0037,0.0,-0.0028,-0.0012,-0.0,0.0057,0.0026,0.0,-0.0006,-0.0032,0.0,0.0031,0.0,0.0,0.0001,0.0001,-0.0,-0.0008,0.0003,-0.0068
2026-07-14,282.0,286.0,264.0,284.0,96200,-0.0,0.0,0.0,-0.0003,-0.0001,0.0073,0.0002,0.0069,-0.0013,-0.0013,0.0,-0.0057,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,278.0,282.0,274.0,274.0,37600,0.0002,0.0,0.0,0.0,0.0,-0.0032,-0.0004,0.0019,0.0005,0.0002,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,280.0,280.0,272.0,278.0,17000,0.0005,0.0028,0.0,0.0,0.0,-0.0019,-0.0003,0.0,0.0,0.0,0.0011,-0.0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,278.0,280.0,270.0,280.0,41000,-0.0002,0.001,0.0078,-0.0,-0.0014,0.0013,0.0003,-0.0058,-0.0001,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,290.0,298.0,270.0,278.0,81700,,,,,,,,,,,,,,,,,,,,
2026-07-21,290.0,314.0,274.0,300.0,541400,,,,,,,,,,,,,,,,,,,,
2026-07-22,280.0,290.0,280.0,290.0,71600,,,,,,,,,,,,,,,,,,,,
2026-07-23,284.0,300.0,280.0,280.0,93100,,,,,,,,,,,,,,,,,,,,
2026-07-24,284.0,286.0,282.0,286.0,40500,,,,,,,,,,,,,,,,,,,,
