Date,Close,High,Low,Open,Volume,XC,ES,SQ,XA,AZ,KK,CC,OD,GR,XL,YP,HD,PD,YU,EL,PG,CP,PI,KI,RO,SF,LG,EP,HP,LS,BQ,NI,IF,PC,AT,DR
2026-07-13,200.0,208.0,198.0,204.0,710600,0.0034,0.0,-0.0038,0.0001,0.0,0.0,-0.0001,-0.0,0.0,-0.0163,0.0,0.0001,0.003,0.0,0.0052,0.005,0.0,0.0051,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.1,0.0,-0.1002,-0.0019,-0.0001,-0.0
2026-07-14,212.0,212.0,198.0,202.0,446600,-0.0005,0.0,-0.0212,0.0,0.0,0.0009,0.0011,0.0,-0.0,-0.0087,-0.0053,-0.0,-0.0028,0.0,0.0,0.0023,0.054,-0.0021,0.0,-0.0024,0.0,0.0,0.0,0.0121,-0.0139,-0.0136,0.0,0.0,0.0,0.0,0.0
2026-07-15,208.0,212.0,206.0,212.0,109800,0.0023,0.0,0.0,0.0,0.0,0.0008,-0.0014,0.0,0.0004,-0.001,0.0,-0.0001,0.0073,0.0,0.0,0.0,0.0016,0.0,0.0,0.0,0.0004,0.0,0.0021,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,204.0,206.0,200.0,204.0,1049400,0.0005,0.0007,0.0,0.0,0.0,0.0001,0.002,0.002,0.0085,-0.0616,0.0,-0.0001,-0.0025,0.0245,0.0036,0.0048,0.1208,0.0034,-0.1109,0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,204.0,204.0,202.0,204.0,93500,-0.0002,-0.0007,-0.0,0.0024,0.008,0.0005,-0.002,0.0024,-0.0007,-0.0097,0.0002,-0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,204.0,206.0,200.0,204.0,372500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,206.0,206.0,200.0,202.0,914400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,204.0,206.0,202.0,206.0,145300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,202.0,204.0,200.0,202.0,982000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,204.0,204.0,199.0,200.0,127500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
