Date,Close,High,Low,Open,Volume,XC,KI,OD,XL,YP,CP,AZ,BQ,CC,PD
2026-07-13,670.0,690.0,640.0,690.0,5900,0.0001,0.0,-0.0002,-0.0006,0.0011,0.0,0.0007,0.0001,-0.0011,0.0
2026-07-14,675.0,700.0,670.0,670.0,7000,0.0001,0.0,-0.0007,-0.0018,0.0003,-0.0001,0.0,-0.0001,-0.0003,0.0027
2026-07-15,675.0,675.0,675.0,675.0,300,0.0,0.0,-0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0
2026-07-16,670.0,675.0,655.0,675.0,3500,0.0,0.0,-0.0003,-0.0001,0.0018,-0.0014,0.0,0.0,0.0,0.0
2026-07-17,680.0,690.0,660.0,670.0,2900,0.0001,-0.0001,-0.0013,-0.0004,0.0017,0.0,0.0,0.0,0.0,0.0
2026-07-20,675.0,700.0,655.0,700.0,32600,,,,,,,,,,
2026-07-21,665.0,675.0,645.0,650.0,6100,,,,,,,,,,
2026-07-22,665.0,665.0,630.0,665.0,6000,,,,,,,,,,
2026-07-23,635.0,685.0,625.0,665.0,468900,,,,,,,,,,
2026-07-24,635.0,660.0,620.0,635.0,68700,,,,,,,,,,
