Date,Close,High,Low,Open,Volume,XC,LG,AZ,XA,AT,EP,YP,DH,CC,YB,NI,BQ,PD,QA,SQ,KK,CP,ZP,ZR,KI,OD,DX,AG,XL,AI,IN,FZ,MG,TP,AR,IF,MU,AO,GR,DU,HP,RO,DR,YU,TF,HD,YJ
2026-07-13,68.0,70.0,66.0,68.0,426000,0.0026,0.0013,0.0,0.0003,0.0,-200.0,0.0,0.0,-0.0021,0.0,-0.0008,0.0001,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0,0.0,-0.0057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0,-0.0,0.0006,0.0,0.0,0.0,0.0
2026-07-14,68.0,70.0,66.0,68.0,799000,-0.0012,0.0008,-0.0,-0.001,0.0,0.0,-0.0004,0.0,-0.0097,0.0,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,-0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0
2026-07-15,70.0,73.0,66.0,67.0,2413500,-0.0003,0.0,0.0,0.0055,0.0,0.0,0.0055,-0.0009,-0.0044,0.0,-0.0064,0.0003,-0.0058,0.0,0.0,-0.0015,0.0,0.0,0.0,-0.0019,0.0001,0.0,0.0,0.0101,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,-0.0021,0.0,0.002,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0
2026-07-16,79.0,92.0,70.0,70.0,76859800,0.0078,-0.0025,-0.0182,-0.0098,0.0141,0.0135,-0.1242,-0.0147,0.0067,-0.0462,-0.0474,0.0024,0.0181,0.0265,-0.0705,0.0734,0.0054,0.0013,0.0002,-0.263,0.0456,-0.0089,0.0176,0.3978,-0.0011,0.0079,0.0,-0.001,0.0022,-0.0352,-0.0005,-0.0006,0.0016,-0.0058,0.0061,0.0073,0.004,0.0015,0.0024,0.0007,-0.0147,500.0
2026-07-17,80.0,87.0,76.0,79.0,18623400,-0.0032,0.0334,0.0006,-0.0021,-0.0041,-0.0083,-0.0321,0.0019,0.0563,0.0048,0.0006,-0.0052,-0.0294,-0.0024,0.0062,0.0078,0.0071,-0.0013,-0.0009,-0.0002,0.0017,0.0047,-0.0004,-0.1009,-0.0,-0.0085,-0.0,-0.0,0.0187,0.0403,0.0003,-0.0004,-0.0017,0.0062,-0.0063,-0.0078,0.0227,0.0021,0.0,0.0,0.0,0.0
2026-07-20,78.0,84.0,76.0,81.0,5109800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,84.0,90.0,77.0,77.0,26813200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,83.0,87.0,80.0,83.0,7861500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,82.0,86.0,81.0,83.0,6177100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,78.0,85.0,77.0,82.0,3355000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
