Date,Close,High,Low,Open,Volume,DP,YU,SQ,XC,LG,AZ,XA,KK,CP,ZP,AT,KI,OD,BB,AK,XL,YP,DH,BK,EP,DX,CC,TP,YB,HD,NI,IF,BQ,AO,GR,PD,HP,CD,RO,DR,YJ,LS,AI,AG,SS,AR,QA,MG,PG,SH,MU,FS
2026-07-13,1305.0,1325.0,1295.0,1295.0,6672200,0.0,0.6936,0.0035,-0.2671,-0.0068,0.4954,0.0025,0.0236,-0.2815,-0.0629,0.0219,0.1403,2.0,-0.3665,-1.9,0.449,-0.0049,0.054,-0.2069,-0.0086,-0.0025,-0.9424,-0.1184,0.1161,-0.0171,0.0611,-0.0007,0.0485,0.0049,-0.0467,0.2329,0.0202,-0.0066,-0.0014,-0.068,-0.0016,0.0,0.0,-0.0003,0.0,0.0,0.0001,0.0,0.0,-0.0257,0.0013,-0.0007
2026-07-14,1310.0,1335.0,1295.0,1310.0,6992300,0.0,1.7,-0.0676,0.208,0.1318,-0.1559,-0.0147,0.0326,-0.0025,-1.4,0.0017,0.0159,1.6,0.0,0.0478,-0.5597,-0.1587,-0.0193,0.2193,0.0238,-0.0352,-1.0,-0.4486,0.1626,-0.0002,0.1373,-0.0001,-0.1172,0.0129,-0.0474,-0.0391,-0.0026,0.0039,-0.0009,-0.2089,-0.0016,0.0,-0.0026,0.0001,0.0,0.0,-0.0001,-0.0031,-0.0331,0.0,0.0,0.0
2026-07-15,1325.0,1345.0,1300.0,1315.0,4688000,0.0,-0.3948,-0.1358,-0.1234,0.0367,-0.0637,0.0,-0.2214,-0.0051,0.8964,-0.0133,-0.0072,1.2,0.0,0.0423,-0.5439,0.0181,-0.0699,-0.0929,-0.0196,0.0,-1.0,0.7042,-0.2166,0.0065,0.1632,0.0,-0.0053,-0.0001,0.3058,-0.0201,0.0013,-0.0067,0.0001,-0.4879,-0.0135,0.0209,-0.0665,-0.0146,0.1335,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1335.0,1350.0,1325.0,1325.0,3963600,0.0,0.0,0.1494,-0.0905,0.0016,0.1995,0.0009,-0.053,0.0145,-0.4,0.0037,-0.0009,1.1,-0.2658,0.9243,-0.0197,-0.2813,0.0891,-0.0459,-0.1193,0.0093,-1.2,1.1,-0.0023,0.0073,0.0697,-0.0013,-0.0604,0.0,0.0152,-1.1,0.0,-0.0003,-0.0003,-0.0293,-0.004,-0.0008,-0.0094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1320.0,1335.0,1305.0,1335.0,4311700,0.4389,0.0628,0.0091,-0.0661,0.0294,-0.1799,-0.002,-0.0483,0.0133,-0.4164,-0.0056,0.0004,0.0204,-0.2409,-0.455,0.3101,0.0585,0.4286,-0.4347,-0.0451,-0.0087,-0.4719,0.944,0.0516,-0.0139,0.0438,0.0003,-0.0053,0.066,0.1567,-0.2697,0.0623,0.0066,0.0077,-0.0467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1325.0,1335.0,1320.0,1320.0,5373700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1340.0,1350.0,1330.0,1335.0,4881900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1340.0,1360.0,1330.0,1340.0,6117600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1395.0,1415.0,1340.0,1345.0,18165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1380.0,1410.0,1365.0,1400.0,9716200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
