Date,Close,High,Low,Open,Volume,XA,OD,XL,KK,CC,PD,SQ,XC,EP,AK,YP,NI
2026-07-13,780.0,790.0,775.0,790.0,2500,0.0,0.0,-0.001,0.0009,0.0001,-0.0008,0.0,0.0008,0.0,0.0,0.0001,0.0
2026-07-14,780.0,790.0,780.0,790.0,2600,0.0,0.0,-0.0015,0.0009,0.0002,0.0,0.0,0.0005,0.0,0.0,-0.0002,0.0001
2026-07-15,760.0,780.0,760.0,780.0,6800,0.001,0.0001,-0.0004,0.0002,0.0014,-0.0004,0.0,-0.0011,0.0001,-0.0017,0.0008,0.0
2026-07-16,780.0,780.0,760.0,760.0,2200,0.0,-0.0001,0.0005,-0.0002,0.001,-0.0012,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,780.0,780.0,780.0,780.0,2600,-0.0012,-0.0002,0.0008,-0.0003,0.0009,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,770.0,800.0,770.0,800.0,11100,,,,,,,,,,,,
2026-07-21,765.0,780.0,765.0,780.0,21600,,,,,,,,,,,,
2026-07-22,770.0,785.0,770.0,780.0,27100,,,,,,,,,,,,
2026-07-23,775.0,785.0,770.0,770.0,8400,,,,,,,,,,,,
2026-07-24,765.0,780.0,765.0,775.0,5100,,,,,,,,,,,,
