Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,XA,KZ,AT,AK,EP,YP,DH,CC,YB,NI,BQ,TF,HD,SQ,RO,KK,CP,ZP,KI,OD,BK,XL,MG,TP,IF,GR,HP,PD,DR,DX,BR,PC,BB,AG,CD,QA
2026-07-13,600.0,605.0,595.0,595.0,8638800,0.0203,-1.0,-0.0689,0.0,-0.0002,0.0,-0.2166,1.1,0.001,0.0352,0.0,0.3617,0.0015,-0.0261,0.0,-0.0014,0.0,-0.3805,0.0026,0.0083,-0.003,-1.3,0.1505,-0.2784,0.3323,0.0048,-0.3844,0.0068,0.0,-0.0433,0.0209,1.9,-0.012,0.0,0.0,0.0,-0.1343,0.0,0.0,0.0
2026-07-14,595.0,610.0,590.0,605.0,22458100,0.0367,-3.0,0.0043,-0.0003,0.0339,-2.3,0.0183,-0.6303,0.0064,0.1025,-0.0053,0.955,0.0017,3.9,0.0039,0.0,-0.0003,0.1691,0.0029,-0.0031,0.0145,-2.6,-0.0197,0.1921,-0.0073,0.4606,-0.6014,-0.013,0.0,0.0006,-0.0009,3.3,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0001
2026-07-15,615.0,635.0,590.0,600.0,39439300,-0.0799,-4.8,4.8,-0.0008,-0.0296,-3.1,-0.0006,4.3,-0.0056,-1.3,0.0115,4.9,0.0647,0.0185,0.0004,-0.0011,-0.0004,-0.0735,-0.0055,0.0084,-0.0222,-3.7,-0.1621,-0.0084,0.2498,-0.0677,-2.0,-0.0093,0.0117,-0.0024,0.0053,0.5644,0.0033,0.0,0.0,-0.0012,0.3777,-0.0004,-0.0003,0.0
2026-07-16,610.0,625.0,605.0,620.0,8189300,0.0315,-0.9834,0.2103,-0.0248,0.0199,-0.0701,0.0325,0.6008,0.0001,0.4436,-0.0003,1.2,-0.062,-0.8123,-0.0015,0.0,-0.0003,0.025,0.0022,0.0065,0.0,0.0652,-0.0712,0.0283,0.6367,-1.2,-0.4067,0.0002,0.3821,0.0016,-0.0097,-0.009,-0.0201,-0.0011,-0.0313,0.0,0.0,0.0,0.0,0.0
2026-07-17,630.0,640.0,605.0,610.0,35387000,0.1964,-9.5,-0.0001,4.7,-0.0356,-0.6225,-0.0234,1.0,0.0032,-0.2289,-0.0172,1.6,-0.0062,-4.3,-0.0,0.0,0.0046,0.0229,-0.0014,-0.0087,-0.0375,0.4955,-0.1615,-0.1753,0.2183,-0.2737,-1.9,0.4619,-0.0047,-0.0023,0.004,8.6,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,640.0,655.0,620.0,630.0,12994100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,635.0,640.0,625.0,640.0,19155800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,620.0,640.0,610.0,635.0,47382500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,605.0,625.0,605.0,625.0,14291500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,605.0,610.0,590.0,605.0,5178400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
