Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,XA,AZ,PC,AT,AK,EP,YP,DH,CC,YB,BQ,NI,PD,TF,HD,QA,EL,SQ,YJ,KK,CP,ZP,ZR,KI,OD,AG,BK,XL,AD,SH,MG,TP,RF,IF,AO,GR,BR,RO,DR,AI,DX,CD,KZ,RS,GI
2026-07-13,1085.0,1090.0,1045.0,1090.0,18703600,0.0387,0.0054,0.0062,0.0,0.0703,-0.0217,0.0,0.0095,-1.7,-0.0007,-0.171,-0.0924,0.3546,-0.2689,-0.001,-0.0291,-0.1966,0.0,-0.0744,0.0105,0.0,0.0047,0.0004,-0.3511,-0.2109,2.0,0.0,0.0151,-0.0016,0.4764,0.657,-0.0339,0.0,0.0004,0.0,0.0065,0.0,0.0003,0.0004,-0.0325,0.0,0.096,-0.6305,-0.0022,0.0,0.0,0.0,0.0,-0.0002
2026-07-14,1060.0,1100.0,1060.0,1085.0,20061700,0.3031,-0.0271,-0.0016,0.0405,-0.0648,0.001,0.0006,0.0187,-1.1,0.0044,-0.2037,-0.0048,-1.1,0.0008,-0.0021,0.0244,0.0097,0.0,0.1644,-0.0211,0.0006,-0.0012,0.0823,0.1858,0.0093,-0.0983,0.0005,0.0046,0.1217,-1.2,3.3,0.0788,0.0,0.0394,0.0,-0.1474,0.0,0.0005,0.0406,0.3469,0.0393,-0.261,-0.3642,0.0,0.0,0.0,0.0,-0.2049,0.0
2026-07-15,1100.0,1100.0,1050.0,1055.0,28035200,-0.2855,0.0016,-0.0047,-0.0405,0.0475,-0.0026,0.0431,-0.0,2.1,0.039,0.6644,-0.0162,1.5,-0.0033,0.0393,-0.0114,-0.1136,0.0,-0.1598,-0.0,0.0407,-0.0065,-0.0821,-0.177,-0.0199,-1.7,0.0377,0.0001,0.0265,-4.5,0.3384,-0.0697,0.0,-0.0392,0.0,-0.1947,0.0,0.0,-0.0404,-0.1765,-0.0391,0.0011,-0.8157,0.0,-0.0008,0.0,3.6,0.0,0.0
2026-07-16,1125.0,1140.0,1095.0,1100.0,26748400,-0.085,-0.0003,-0.0303,0.0373,0.0174,-0.0011,-0.0447,-0.0102,-2.7,-0.059,3.7,-0.0042,0.9335,0.026,-0.0405,0.0106,-0.5451,0.0,0.0292,0.0,-0.0422,0.0132,0.0755,0.0046,0.0277,3.5,-0.0391,-0.0001,-0.044,-4.1,0.0673,-1.1,0.0,0.0367,0.0,-0.0506,0.0,0.0,0.018,0.0277,0.0361,0.2158,0.025,-0.065,-0.0018,0.0,0.0,0.0,0.0
2026-07-17,1060.0,1125.0,1060.0,1125.0,16018200,-0.2339,0.0546,-0.0064,-0.0363,0.0958,0.0128,0.0344,0.008,-0.5501,0.0288,-0.0772,-0.0138,-1.3,-0.1234,0.0344,-0.0854,0.0911,-0.0017,0.128,-0.0,0.0341,-0.0002,-0.1282,0.0358,0.1155,0.1172,0.0332,-0.0044,0.6226,0.4204,0.2786,0.3924,0.0001,-0.0358,-0.0266,-0.0348,0.0003,-0.0001,-0.0339,0.3018,-0.0351,0.0082,-0.1386,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,970.0,1060.0,965.0,1060.0,20455600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,985.0,990.0,965.0,970.0,16797700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,975.0,995.0,975.0,985.0,16105000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,970.0,985.0,950.0,970.0,18725400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,960.0,980.0,950.0,970.0,16605200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
