Date,Close,High,Low,Open,Volume,XC,SQ,NI,AI,XL,YP,DH,CC,PD,RO,YU,XA,AZ,OD,EP,LG,BQ,AK,DR,CP
2026-07-13,1350.0,1385.0,1315.0,1385.0,11700,-0.0016,0.0003,0.0005,0.0,0.0027,0.0003,0.0,-0.0063,0.0032,0.0,0.0,0.0,-0.0001,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0013
2026-07-14,1370.0,1400.0,1315.0,1340.0,32200,0.0001,0.0001,0.0025,0.0,-0.0026,0.0124,0.0,-0.002,0.0008,0.0,0.0,0.0,0.0,-0.0,-0.0174,-0.0,0.0027,0.0033,0.0001,0.0
2026-07-15,1385.0,1390.0,1375.0,1390.0,9300,-0.0006,0.0011,0.0,0.0,0.0036,0.0007,0.0007,-0.0003,-0.0055,0.0,0.0006,0.001,-0.0006,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1385.0,1390.0,1385.0,1385.0,6700,-0.0011,0.0,-0.0003,0.0,-0.0018,0.0033,0.0,-0.0015,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1390.0,1390.0,1380.0,1385.0,10900,0.0001,-0.0033,0.0015,0.0004,0.0025,0.0019,0.0014,-0.0036,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1400.0,1425.0,1380.0,1390.0,25000,,,,,,,,,,,,,,,,,,,,
2026-07-21,1430.0,1450.0,1385.0,1400.0,48400,,,,,,,,,,,,,,,,,,,,
2026-07-22,1415.0,1445.0,1410.0,1445.0,8000,,,,,,,,,,,,,,,,,,,,
2026-07-23,1440.0,1485.0,1405.0,1405.0,54000,,,,,,,,,,,,,,,,,,,,
2026-07-24,1420.0,1500.0,1420.0,1440.0,15300,,,,,,,,,,,,,,,,,,,,
